osiics_16_code;problem_type;osiics_16_level_1;osiics_16_level_2;osiics_16_level_3;osiics_16_level_4
NPM;Injury;Neck;Non-specific;Injury without tissue type specified;Neck muscle and/or tendon strain/spasm/trigger points
NP1;Injury;Neck;Non-specific;Injury without tissue type specified;Cervical functional pain
NPH;Injury;Neck;Non-specific;Injury without tissue type specified;Cervicogenic headache
NZZ;Injury;Neck;Non-specific;Unknown;Neck injuries
NZX;Injury;Neck;Non-specific;Unknown;Neck pain/injury not otherwise specified
NZO;Injury;Neck;Non-specific;Unknown;Post neck surgery
NZ1;Injury;Neck;Non-specific;Unknown;Neck pain undiagnosed
NZS;Injury;Neck;Non-specific;Unknown;Structural abnormality cervical spine
SML;Injury;Shoulder;Muscle/tendon;Muscle injury;Latissimus dorsi muscle strain
SMZ;Injury;Shoulder;Muscle/tendon;Muscle injury;Other shoulder muscle injury not elsewhere specified
SMY;Injury;Shoulder;Muscle/tendon;Muscle injury;Shoulder muscle trigger points/posterior muscle soreness
SMP;Injury;Shoulder;Muscle/tendon;Muscle injury;Pectoralis major muscle strain
SMD;Injury;Shoulder;Muscle/tendon;Muscle injury;Deltoid muscle injury
SM1;Injury;Shoulder;Muscle/tendon;Muscle injury;Muscle strain, shoulder region
SMR;Injury;Shoulder;Muscle/tendon;Muscle injury;Rotator cuff muscle injury
SH1;Injury;Shoulder;Superficial tissues/skin;Contusion (superficial);Shoulder contusion/haematoma
SHA;Injury;Shoulder;Superficial tissues/skin;Contusion (superficial);A/C Joint contusion
SHD;Injury;Shoulder;Muscle/tendon;Muscle contusion;Deltoid haematoma
SHM;Injury;Shoulder;Muscle/tendon;Muscle contusion;Shoulder muscle haematoma
SHZ;Injury;Shoulder;Superficial tissues/skin;Contusion (superficial);Shoulder region contusion
STI;Injury;Shoulder;Muscle/tendon;Tendinopathy;Other infraspinatus tendon injury not otherwise specified
ST1;Injury;Shoulder;Muscle/tendon;Tendinopathy;Rotator cuff tendon pathology
ST3;Injury;Shoulder;Muscle/tendon;Tendinopathy;Calcific tendinopathy
STB;Injury;Shoulder;Muscle/tendon;Tendinopathy;Proximal biceps tendon injury
STC;Injury;Shoulder;Muscle/tendon;Tendinopathy;Subscapularis tendon injury
STD;Injury;Shoulder;Muscle/tendon;Tendinopathy;Subacromial impingement
STP;Injury;Shoulder;Muscle/tendon;Tendinopathy;Other pec major tendon injury not otherwise specified
STF;Injury;Shoulder;Muscle/tendon;Tendinopathy;Acute anterior internal impingement
ST2;Injury;Shoulder;Muscle/tendon;Tendinopathy;Biceps tendinopathy
STIX;Injury;Shoulder;Muscle/tendon;Tendinopathy;Infraspinatus tendon injury
STM;Injury;Shoulder;Muscle/tendon;Tendinopathy;Multiple tendon injury
STO;Injury;Shoulder;Muscle/tendon;Tendinopathy;Other biceps tendon injury not otherwise specified
STZ;Injury;Shoulder;Muscle/tendon;Tendinopathy;Shoulder tendon injury not otherwise specified
STU;Injury;Shoulder;Muscle/tendon;Tendinopathy;Other subscapularis tendon injury not otherwise specified
STS;Injury;Shoulder;Muscle/tendon;Tendinopathy;Supraspinatus tendinopathy
STE;Injury;Shoulder;Muscle/tendon;Tendinopathy;Shoulder impingement/synovitis
ST4;Injury;Shoulder;Muscle/tendon;Tendinopathy;Supraspinatus tendon tear partial thickness
SRS;Injury;Shoulder;Muscle/tendon;Tendon rupture;Supraspinatus tendon rupture full thickness
SR1;Injury;Shoulder;Muscle/tendon;Tendon rupture;Subscapularis tendon rupture
SRI;Injury;Shoulder;Muscle/tendon;Tendon rupture;Infraspinatus tendon rupture
SR3;Injury;Shoulder;Muscle/tendon;Tendon rupture;Pec major tendon rupture
SR2;Injury;Shoulder;Muscle/tendon;Tendon rupture;Rupture of long head of biceps tendon
SN3;Injury;Shoulder;Nervous;Peripheral nerve injury;Thoracic outlet syndrome (neural)
SN1;Injury;Shoulder;Nervous;Peripheral nerve injury;Brachial plexus traction injury/burner/stinger
SN2;Injury;Shoulder;Nervous;Peripheral nerve injury;Isolated axillary nerve palsy
SNX;Injury;Shoulder;Nervous;Peripheral nerve injury;Shoulder neurological injury
SN4;Injury;Shoulder;Nervous;Peripheral nerve injury;Suprascapular nerve entrapment or palsy
SF2;Injury;Shoulder;Bone;Fracture;Scapula fracture
SFS;Injury;Shoulder;Bone;Fracture;Hill sachs compression fracture
SFA;Injury;Shoulder;Bone;Fracture;Fracture dislocation A/C joint
SFX;Injury;Shoulder;Bone;Fracture;Shoulder fractures
SFR;Injury;Shoulder;Bone;Fracture;Refracture clavicle through callus
SFO;Injury;Shoulder;Bone;Fracture;Fracture outer third clavicle
SFM;Injury;Shoulder;Bone;Fracture;Fracture middle third clavicle
SFI;Injury;Shoulder;Bone;Fracture;Fracture inner third clavicle
SFHT;Injury;Shoulder;Bone;Fracture;Fracture greater tuberosity humerus
SFC;Injury;Shoulder;Bone;Fracture;Clavicular fracture
SFB;Injury;Shoulder;Bone;Fracture;Fractured glenoid /bony bankart lesion
SF3;Injury;Shoulder;Bone;Fracture;Fracture neck of humerus
SSZ;Injury;Shoulder;Bone;Bone stress injury;Other bony/overuse injuries not elsewhere classified
SSX;Injury;Shoulder;Bone;Bone stress injury;Shoulder stress/overuse injuries incl stress fractures
SSF;Injury;Shoulder;Bone;Bone stress injury;Shoulder bony stress/overuse injury
SS1;Injury;Shoulder;Bone;Bone stress injury;Stress fracture coracoid process
SSA;Injury;Shoulder;Bone;Bone stress injury;A/C joint stress/overuse injury
UN1;Injury;Upper arm;Nervous;Peripheral nerve injury;Median nerve injury - upper arm
UNU;Injury;Upper arm;Nervous;Peripheral nerve injury;Ulnar nerve injury - upper arm
SCP;Injury;Shoulder;Cartilage/synovium/bursa;Cartilage injury;Posterior shoulder dislocation with posterior labral lesion
SC1;Injury;Shoulder;Cartilage/synovium/bursa;Cartilage injury;Shoulder chondral lesion
SCB;Injury;Shoulder;Cartilage/synovium/bursa;Cartilage injury;Shoulder dislocation with labral bankart lesion
SCL;Injury;Shoulder;Cartilage/synovium/bursa;Cartilage injury;Glenohumeral joint sprain with chondral/labral damage (incl slap tear)
SCS;Injury;Shoulder;Cartilage/synovium/bursa;Cartilage injury;Superior Labrum Anterior and Posterior (SLAP) lesion shoulder
SCH;Injury;Shoulder;Cartilage/synovium/bursa;Cartilage injury;Shoulder dislocation with humeral avulsion of the glenohumeral ligament (hagl)
SAA;Injury;Shoulder;Cartilage/synovium/bursa;Arthritis;A/C joint arthritis
SA1;Injury;Shoulder;Cartilage/synovium/bursa;Arthritis;Glenohumeral osteoarthritis
SA2;Injury;Shoulder;Cartilage/synovium/bursa;Arthritis;A/C joint chronic pain
SAO;Injury;Shoulder;Cartilage/synovium/bursa;Arthritis;Osteolysis of distal clavicle
SAX;Injury;Shoulder;Cartilage/synovium/bursa;Arthritis;Shoulder osteoarthritis
SQF;Injury;Shoulder;Cartilage/synovium/bursa;Synovitis/capsulitis;Adhesive capsulitis/frozen shoulder
SQP;Injury;Shoulder;Cartilage/synovium/bursa;Synovitis/capsulitis;Acute posterior internal impingement
SQE;Injury;Shoulder;Cartilage/synovium/bursa;Synovitis/capsulitis;Internal impingement of the shoulder
SQC;Injury;Shoulder;Cartilage/synovium/bursa;Synovitis/capsulitis;Cervical rib
SQB;Injury;Shoulder;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic internal impingement
SBC;Injury;Shoulder;Cartilage/synovium/bursa;Bursitis;Other chronic subacromial impingement
SBI;Injury;Shoulder;Cartilage/synovium/bursa;Bursitis;Instability associated subacromial impingement
SBS;Injury;Shoulder;Cartilage/synovium/bursa;Bursitis;Acute subacromial impingement
SL1;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Glenohumeral joint sprains
SL2;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Acromioclavicular (A/C) joint sprain
SLA;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Grade 1 A/C joint sprain
SLD;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Grade 3 A/C joint dislocation
SLI;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Glenohumeral ligament sprain
SLJ;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Grade 2 A/C joint sprain
SDU;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Shoulder dislocation with other or unspecified neurological injury
SD1;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Dislocated shoulder
SD2;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Grade 4-6 A/C joint dislocation
SDA;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Shoulder dislocation (anterior)
SDG;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Glenohumeral ligament tear
SDI;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Inferior shoulder dislocation
SDN;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Shoulder dislocation with axillary nerve injury
SDP;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Posterior shoulder dislocation
SDS;Injury;Shoulder;Ligament/joint capsule;Joint sprain;Acute shoulder subluxation
SU1;Injury;Shoulder;Ligament/joint capsule;Chronic instability;Chronic shoulder instability
SUA;Injury;Shoulder;Ligament/joint capsule;Chronic instability;Anterior shoulder instability
SUC;Injury;Shoulder;Ligament/joint capsule;Chronic instability;A/C Joint instability/recurrent sprains
SUP;Injury;Shoulder;Ligament/joint capsule;Chronic instability;Posterior shoulder instability
SVT;Injury;Shoulder;Vessels;Vascular trauma;Shoulder vascular thoracic outlet injury
SVV;Injury;Shoulder;Vessels;Vascular trauma;Subclavian vein obstruction
SKXQ;Injury;Shoulder;Muscle/tendon;Laceration;Complication of shoulder laceration including infection
SKXS;Injury;Shoulder;Muscle/tendon;Laceration;Shoulder laceration requiring suturing
SK1;Injury;Shoulder;Muscle/tendon;Laceration;Shoulder laceration not requiring suturing
SIX;Injury;Shoulder;Superficial tissues/skin;Abrasion;Shoulder soft tissue abrasion
SPZ;Injury;Shoulder;Non-specific;Injury without tissue type specified;Shoulder pain without tissue type specified
SZ1;Injury;Shoulder;Non-specific;Unknown;Shoulder pain undiagnosed
SZS;Injury;Shoulder;Non-specific;Unknown;Post shoulder surgery
SZR;Injury;Shoulder;Non-specific;Unknown;Post shoulder reconstruction
SZP;Injury;Shoulder;Non-specific;Unknown;Shoulder pain/injury not otherwise specified
SZA;Injury;Shoulder;Non-specific;Unknown;Post A/C joint surgery
UMD;Injury;Upper arm;Muscle/tendon;Muscle injury;Upper arm delayed onset muscle soreness (DOMS)
UMT;Injury;Upper arm;Muscle/tendon;Muscle injury;Triceps muscle strain
UM1;Injury;Upper arm;Muscle/tendon;Muscle injury;Biceps muscle strain
UMY;Injury;Upper arm;Muscle/tendon;Muscle injury;Upper arm muscle trigger points/pain
UMX;Injury;Upper arm;Muscle/tendon;Muscle injury;Upper arm muscle strain/spasm/trigger points
UH1;Injury;Upper arm;Muscle/tendon;Muscle contusion;Biceps haematoma
UH3;Injury;Upper arm;Muscle/tendon;Muscle contusion;Triceps haematoma
UHM;Injury;Upper arm;Muscle/tendon;Muscle contusion;Upper arm myositis ossificans
UHZ;Injury;Upper arm;Superficial tissues/skin;Contusion (superficial);Other upper arm soft tissue bruising/haematoma
UHX;Injury;Upper arm;Superficial tissues/skin;Contusion (superficial);Upper arm soft tissue bruising/haematoma
UHT;Injury;Upper arm;Superficial tissues/skin;Contusion (superficial);Upper arm muscle bruising/haematoma
UT8;Injury;Upper arm;Muscle/tendon;Tendinopathy;Upper arm tendon injury
UR1;Injury;Upper arm;Muscle/tendon;Tendon rupture;Pectoralis major tendon injury
UNS;Injury;Upper arm;Nervous;Peripheral nerve injury;Musculocutaneous nerve injury - upper arm
UNR;Injury;Upper arm;Nervous;Peripheral nerve injury;Radial nerve injury - upper arm
UNX;Injury;Upper arm;Nervous;Peripheral nerve injury;Upper arm neurological injury
EN1;Injury;Elbow;Nervous;Peripheral nerve injury;Ulnar neuropathy, elbow
EN2;Injury;Elbow;Nervous;Peripheral nerve injury;Other nerve entrapment, elbow
UFH;Injury;Upper arm;Bone;Fracture;Humerus fracture
UF1;Injury;Upper arm;Bone;Fracture;Midshaft humerus fracture
UFX;Injury;Upper arm;Bone;Fracture;Upper arm fracture
US1;Injury;Upper arm;Bone;Bone stress injury;Stress fracture humerus
USX;Injury;Upper arm;Bone;Bone stress injury;Upper arm bony stress /overuse injury
USF;Injury;Upper arm;Bone;Bone stress injury;Humerus stress fracture involving cortex
UJX;Injury;Upper arm;Bone;Bone contusion;Humerus bone contusion
RNX;Injury;Forearm;Nervous;Peripheral nerve injury;Forearm neurological injury
UK1;Injury;Upper arm;Muscle/tendon;Laceration;Upper arm laceration
UIX;Injury;Upper arm;Superficial tissues/skin;Abrasion;Upper arm abrasion
UISP;Injury;Upper arm;Superficial tissues/skin;Abrasion;Upper arm skin pressure injury
UWS;Injury;Upper arm;Stump;Stump injury;Stump pressure injury upper arm
UWI;Injury;Upper arm;Stump;Stump injury;Infection of stump upper arm
UPS;Injury;Upper arm;Non-specific;Injury without tissue type specified;Upper arm soft tissue overuse injury (e.g. periostitis)
UPZ;Injury;Upper arm;Non-specific;Injury without tissue type specified;Other upper arm overuse injury
UZX;Injury;Upper arm;Non-specific;Unknown;Upper arm pain/injury not otherwise specified
EMX;Injury;Elbow;Muscle/tendon;Muscle injury;Elbow muscle strain/spasm/trigger points
ETB;Injury;Elbow;Muscle/tendon;Tendinopathy;Distal biceps tendinopathy
ETC;Injury;Elbow;Muscle/tendon;Tendinopathy;Elbow tendon injury combined
ETF;Injury;Elbow;Muscle/tendon;Tendinopathy;Common flexor origin tear
ET2;Injury;Elbow;Muscle/tendon;Tendinopathy;Golfer's elbow (medial epicondyle pain)
ET3;Injury;Elbow;Muscle/tendon;Tendinopathy;Distal triceps tendinopathy
ETE;Injury;Elbow;Muscle/tendon;Tendinopathy;Common extensor origin tear
ET1;Injury;Elbow;Muscle/tendon;Tendinopathy;Tennis elbow (lateral epicondyle pain)
ETT;Injury;Elbow;Muscle/tendon;Tendinopathy;Distal triceps tendon injury
ER1;Injury;Elbow;Muscle/tendon;Tendon rupture;Distal biceps tendon rupture
ER2;Injury;Elbow;Muscle/tendon;Tendon rupture;Distal triceps tendon rupture
WN1;Injury;Wrist;Nervous;Peripheral nerve injury;Carpal tunnel syndrome
WNU;Injury;Wrist;Nervous;Peripheral nerve injury;Wrist ulnar nerve injury
EFU;Injury;Elbow;Bone;Fracture;Fractured olecranon
EF3;Injury;Elbow;Bone;Fracture;Fractured radial head
EFX;Injury;Elbow;Bone;Fracture;Elbow fractures
EFR;Injury;Elbow;Bone;Fracture;Avulsion fracture proximal radius
EFH;Injury;Elbow;Bone;Fracture;Supracondylar humeral fracture
EFM;Injury;Elbow;Bone;Fracture;Avulsion fracture elbow multiple locations or location unspecified
EF1;Injury;Elbow;Bone;Fracture;Avulsion fracture distal humerus
EF2;Injury;Elbow;Bone;Fracture;Fractured humeral condyle(s)
ES1;Injury;Elbow;Bone;Bone stress injury;Elbow stress fracture
EJX;Injury;Elbow;Bone;Bone contusion;Elbow bone bruise
EEP;Injury;Elbow;Bone;Avascular necrosis;Panner disease (elbow avascular necrosis)
WNX;Injury;Wrist;Nervous;Peripheral nerve injury;Wrist neurological injury
LNA;Injury;Lumbosacral;Nervous;Peripheral nerve injury;Lumbosacral nerve root impingement due to foraminal stenosis bony and disc
LNB;Injury;Lumbosacral;Nervous;Peripheral nerve injury;Buttock nerve injury
ECL;Injury;Elbow;Cartilage/synovium/bursa;Cartilage injury;Loose body in elbow
EC1;Injury;Elbow;Cartilage/synovium/bursa;Cartilage injury;Chondral lesion elbow (+/- loose bodies)
ECO;Injury;Elbow;Cartilage/synovium/bursa;Cartilage injury;Osteochondrosis elbow
EA1;Injury;Elbow;Cartilage/synovium/bursa;Arthritis;Elbow osteoarthritis
EQ1;Injury;Elbow;Cartilage/synovium/bursa;Synovitis/capsulitis;Elbow atraumatic synovitis
EQ4;Injury;Elbow;Cartilage/synovium/bursa;Synovitis/capsulitis;Elbow posterior impingement/synovitis
EB1;Injury;Elbow;Cartilage/synovium/bursa;Bursitis;Elbow olecranon bursitis
EL1;Injury;Elbow;Ligament/joint capsule;Joint sprain;Elbow ulna/medial collateral ligament (UCL) strain or tear
ELZ;Injury;Elbow;Ligament/joint capsule;Joint sprain;Other elbow strain not otherwise specified
ELR;Injury;Elbow;Ligament/joint capsule;Joint sprain;Elbow ucl rupture/grade 3 tear
ELM;Injury;Elbow;Ligament/joint capsule;Joint sprain;Elbow ucl injury and common flexor origin tear
ELA;Injury;Elbow;Ligament/joint capsule;Joint sprain;Elbow hyperextension +/- strain anterior elbow structures
ELJ;Injury;Elbow;Ligament/joint capsule;Joint sprain;Sprained/jarred elbow
ED2;Injury;Elbow;Ligament/joint capsule;Joint sprain;Dislocated radial head
EDA;Injury;Elbow;Ligament/joint capsule;Joint sprain;Anterior elbow dislocation
EDP;Injury;Elbow;Ligament/joint capsule;Joint sprain;Posterior elbow dislocation
ED1;Injury;Elbow;Ligament/joint capsule;Joint sprain;Dislocated elbow
