osiics_15_code;osiics_15_diagnosis;osiics_15_body_part;osiics_15_tissue;osiics_15_pathology;osiics_15_organ_system;osiics_15_eitiology
HOR;Retinal detachment;Head;Internal organs ;Organ trauma ;;
HOE;Ear trauma;Head;Internal organs ;Organ trauma ;;
HO2;Perforated ear drum;Head;Internal organs ;Organ trauma ;;
HFT;Avulsed/fractured tooth;Head;Bone ;Fracture ;;
HFD;Fractured Tooth;Head;Bone ;Fracture ;;
HDT;Avulsed Tooth;Head;Ligament/joint capsule ;Joint sprain;;
HODL;Subluxed Tooth;Head;Internal organs ;Organ trauma ;;
HP1;Functional head pain;Head;Non-specific ;Pain without tissue type specified ;;
MNEH;Exercise related headache;Medical;;;Neurological ;Immunological/inflammatory
MNEM;Exercise related migraine;Medical;;;Neurological ;Environmental – exercise-related
NPH;Cervicogenic headache;Neck;Non-specific ;Pain without tissue type specified ;;
HMT;Muscular trigger point referred headache;Head;Muscle/tendon ;Muscle injury;;
HZ1;Headache/pain undiagnosed;Head;Non-specific ;Unknown;;
NZZ;Neck Injuries;Neck;Non-specific ;Unknown;;
NH1;Neck contusion/haematoma;Neck;Muscle/tendon ;Muscle contusion ;;
NKX;Neck Laceration;Neck;Superficial tissues/skin ;Laceration ;;
NKXQ;Complication of neck laceration including infection;Neck;Superficial tissues/skin ;Laceration ;;
NKXS;Neck laceration requiring suturing;Neck;Superficial tissues/skin ;Laceration ;;
NK1;Neck laceration not requiring suturing;Neck;Superficial tissues/skin ;Laceration ;;
NIX;Neck abrasion ;Neck;Superficial tissues/skin ;Abrasion ;;
NLW;Whiplash/neck sprain;Neck;Ligament/joint capsule ;Ligament;;
NPM;Neck muscle and/or tendon strain/spasm/trigger points;Neck;Non-specific ;Pain without tissue type specified ;;
NM1;Neck muscle strain;Neck;Muscle/tendon ;Muscle injury;;
NMT;Neck muscle soreness/spasm/torticollis;Neck;Muscle/tendon ;Muscle injury;;
NU8;Cervical Spine Instability;Neck;Ligament/joint capsule ;Chronic instability ;;
NL1;Facet Joint/Neck Ligament sprain;Neck;Ligament/joint capsule ;Ligament;;
NUS;Cervical Subluxation/instability;Neck;Ligament/joint capsule ;Chronic instability ;;
NP1;Cervical functional pain;Neck;Non-specific ;Pain without tissue type specified ;;
NC1;Cervical disc Injury;Neck;Cartilage/synovium/bursa ;Cartilage ;;
NCL;Cervical Disc sprain;Neck;Cartilage/synovium/bursa ;Cartilage ;;
NCP;Cervical Disc Prolapse;Neck;Cartilage/synovium/bursa ;Cartilage ;;
NSX;Cervical stress fracture;Neck;Bone ;Bone stress injury ;;
NFX;Neck Fracture;Neck;Bone ;Fracture ;;
NFC;Cervical Fracture/s;Neck;Bone ;Fracture ;;
NF1;Stable cervical fracture/s;Neck;Bone ;Fracture ;;
NF2;Unstable cervical fracture/s;Neck;Bone ;Fracture ;;
NFS;Avulsion fracture/s cervical spine (e.g. spinous process fracture);Neck;Bone ;Fracture ;;
NOF;Laryngeal fracture;Neck;Internal organs ;Organ trauma ;;
NOX;Neck Organ Damage;Neck;Internal organs ;Organ trauma ;;
NOL;Laryngeal trauma;Neck;Internal organs ;Organ trauma ;;
NO1;Foreign body in larynx;Neck;Internal organs ;Organ trauma ;;
NNX;Neurological Neck Injury;Neck;Nervous system;Nerve injury;;
NN1;Cervical nerve root compression/stretch;Neck;Nervous system;Nerve injury;;
NN2;Cervical spinal cord injury;Neck;Nervous system;Nerve injury;;
NN4;Cervical spinal cord concussion;Neck;Nervous system;Nerve injury;;
NAX;Cervical spinal column degenerative disc disease/arthritis;Neck;Cartilage/synovium/bursa ;Arthritis ;;
NA1;Cervical facet joint arthritis;Neck;Cartilage/synovium/bursa ;Arthritis ;;
NN3;Cervical spinal canal stenosis;Neck;Nervous system;Nerve injury;;
NC2;Cervical disc degeneration;Neck;Cartilage/synovium/bursa ;Cartilage ;;
NZ1;Neck pain undiagnosed;Neck;Non-specific ;Unknown;;
NZX;Neck Pain/Injury Not Otherwise Specified;Neck;Non-specific ;Unknown;;
SH1;Shoulder contusion/haematoma;Shoulder;Muscle/tendon ;Muscle contusion ;;
SHM;Shoulder muscle haematoma;Shoulder;Muscle/tendon ;Muscle contusion ;;
SHD;Deltoid haematoma;Shoulder;Muscle/tendon ;Muscle contusion ;;
SHA;A/C Joint contusion;Shoulder;Muscle/tendon ;Muscle contusion ;;
SHZ;Shoulder region contusion;Shoulder;Muscle/tendon ;Muscle contusion ;;
SIX;Shoulder Soft Tissue Abrasion;Shoulder;Superficial tissues/skin ;Abrasion ;;
SKXQ;Complication of shoulder laceration including infection;Shoulder;Superficial tissues/skin ;Laceration ;;
SKXS;Shoulder laceration requiring suturing;Shoulder;Superficial tissues/skin ;Laceration ;;
SK1;Shoulder laceration not requiring suturing;Shoulder;Superficial tissues/skin ;Laceration ;;
SM1;Muscle strain, shoulder region;Shoulder;Muscle/tendon ;Muscle injury;;
SMD;Deltoid muscle injury;Shoulder;Muscle/tendon ;Muscle injury;;
SMP;Pectoralis major muscle strain;Shoulder;Muscle/tendon ;Muscle injury;;
SML;Latissimus dorsi muscle strain;Shoulder;Muscle/tendon ;Muscle injury;;
SMR;Rotator Cuff muscle injury;Shoulder;Muscle/tendon ;Muscle injury;;
SMY;Shoulder muscle trigger points/posterior muscle soreness;Shoulder;Muscle/tendon ;Muscle injury;;
SMZ;Other shoulder muscle injury not elsewhere specified;Shoulder;Muscle/tendon ;Muscle injury;;
ST1;Rotator cuff tendon pathology;Shoulder;Muscle/tendon ;Tendinopathy ;;
STS;Supraspinatus tendinopathy;Shoulder;Muscle/tendon ;Tendinopathy ;;
ST3;Calcific tendinopathy;Shoulder;Muscle/tendon ;Tendinopathy ;;
ST4;Supraspinatus tendon tear partial thickness;Shoulder;Muscle/tendon ;Tendinopathy ;;
SRS;Supraspinatus tendon rupture full thickness;Shoulder;Muscle/tendon ;Tendon rupture ;;
STIX;Infraspinatus tendon injury;Shoulder;Muscle/tendon ;Tendinopathy ;;
SRI;Infraspinatus tendon rupture;Shoulder;Muscle/tendon ;Tendon rupture ;;
STI;Other Infraspinatus tendon injury Not otherwise specified;Shoulder;Muscle/tendon ;Tendinopathy ;;
STC;Subscapularis Tendon Injury;Shoulder;Muscle/tendon ;Tendinopathy ;;
SR1;Subscapularis tendon rupture;Shoulder;Muscle/tendon ;Tendon rupture ;;
STU;Other Subscapularis tendon injury not otherwise specified;Shoulder;Muscle/tendon ;Tendinopathy ;;
STB;Proximal biceps tendon injury;Shoulder;Muscle/tendon ;Tendinopathy ;;
ST2;Biceps tendinopathy;Shoulder;Muscle/tendon ;Tendinopathy ;;
SR2;Rupture of long head of biceps tendon;Shoulder;Muscle/tendon ;Tendon rupture ;;
STO;Other biceps tendon injury not otherwise specified;Shoulder;Muscle/tendon ;Tendinopathy ;;
UR1;Pectoralis major tendon injury;Upper Arm;Muscle/tendon ;Tendon rupture ;;
SR3;Pec Major tendon rupture;Shoulder;Muscle/tendon ;Tendon rupture ;;
STP;Other pec major tendon injury not otherwise specified;Shoulder;Muscle/tendon ;Tendinopathy ;;
STM;Multiple tendon injury;Shoulder;Muscle/tendon ;Tendinopathy ;;
STZ;Shoulder tendon injury not otherwise specified;Shoulder;Muscle/tendon ;Tendinopathy ;;
SDS;Acute shoulder subluxation;Shoulder;Ligament/joint capsule ;Joint sprain;;
SL1;Glenohumeral joint sprains;Shoulder;Ligament/joint capsule ;Ligament;;
SUA;Anterior shoulder instability;Shoulder;Ligament/joint capsule ;Chronic instability ;;
SLI;Glenohumeral ligament sprain;Shoulder;Ligament/joint capsule ;Ligament;;
SUP;Posterior shoulder instability;Shoulder;Ligament/joint capsule ;Chronic instability ;;
SCL;Glenohumeral joint sprain with chondral/labral damage (incl SLAP tear);Shoulder;Cartilage/synovium/bursa ;Cartilage ;;
SL2;Acromioclavicular (A/C) joint sprain;Shoulder;Ligament/joint capsule ;Ligament;;
SLA;Grade 1 A/C joint sprain;Shoulder;Ligament/joint capsule ;Ligament;;
SLJ;Grade 2 A/C joint sprain;Shoulder;Ligament/joint capsule ;Ligament;;
SLD;Grade 3 A/C joint dislocation;Shoulder;Ligament/joint capsule ;Ligament;;
SD2;Grade 4-6 A/C joint dislocation;Shoulder;Ligament/joint capsule ;Joint sprain;;
SFA;Fracture dislocation A/C joint;Shoulder;Bone ;Fracture ;;
SC1;Shoulder chondral lesion;Shoulder;Cartilage/synovium/bursa ;Cartilage ;;
SD1;Dislocated shoulder;Shoulder;Ligament/joint capsule ;Joint sprain;;
SCB;Shoulder dislocation with labral Bankart lesion;Shoulder;Cartilage/synovium/bursa ;Cartilage ;;
SDA;Shoulder dislocation (anterior);Shoulder;Ligament/joint capsule ;Joint sprain;;
SCH;Shoulder dislocation with humeral avulsion of the glenohumeral ligament (HAGL);Shoulder;Cartilage/synovium/bursa ;Cartilage ;;
SDG;Glenohumeral ligament tear;Shoulder;Ligament/joint capsule ;Joint sprain;;
SDN;Shoulder dislocation with axillary nerve injury;Shoulder;Ligament/joint capsule ;Joint sprain;;
SDU;Shoulder dislocation with other or unspecified neurological injury;Shoulder;Ligament/joint capsule ;Joint sprain;;
SDI;Inferior shoulder dislocation;Shoulder;Ligament/joint capsule ;Joint sprain;;
SDP;Posterior shoulder dislocation;Shoulder;Ligament/joint capsule ;Joint sprain;;
SCP;Posterior shoulder dislocation with posterior labral lesion;Shoulder;Cartilage/synovium/bursa ;Cartilage ;;
SU1;Chronic Shoulder instability;Shoulder;Ligament/joint capsule ;Chronic instability ;;
SCS;Superior Labrum Anterior and Posterior (SLAP) lesion shoulder;Shoulder;Cartilage/synovium/bursa ;Cartilage ;;
SUC;A/C Joint instability/recurrent sprains;Shoulder;Ligament/joint capsule ;Chronic instability ;;
STE;Shoulder impingement/Synovitis;Shoulder;Muscle/tendon ;Tendinopathy ;;
STD;Subacromial impingement;Shoulder;Muscle/tendon ;Tendinopathy ;;
SBS;Acute subacromial impingement;Shoulder;Cartilage/synovium/bursa ;Bursitis ;;
SBI;Instability associated subacromial impingement;Shoulder;Cartilage/synovium/bursa ;Bursitis ;;
SBC;Other chronic subacromial impingement;Shoulder;Cartilage/synovium/bursa ;Bursitis ;;
SQE;Internal impingement of the shoulder;Shoulder;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
STF;Acute anterior internal impingement;Shoulder;Muscle/tendon ;Tendinopathy ;;
SQP;Acute posterior internal impingement;Shoulder;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
SQB;Chronic internal impingement;Shoulder;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
SQF;Adhesive capsulitis/frozen shoulder;Shoulder;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
SA2;A/C joint chronic pain;Shoulder;Cartilage/synovium/bursa ;Arthritis ;;
SFX;Shoulder Fractures;Shoulder;Bone ;Fracture ;;
SFC;Clavicular fracture;Shoulder;Bone ;Fracture ;;
SFO;Fracture outer third clavicle;Shoulder;Bone ;Fracture ;;
SFM;Fracture middle third clavicle;Shoulder;Bone ;Fracture ;;
SFI;Fracture inner third clavicle;Shoulder;Bone ;Fracture ;;
SFR;Refracture clavicle through callus;Shoulder;Bone ;Fracture ;;
SF2;Scapula fracture;Shoulder;Bone ;Fracture ;;
SFB;Fractured glenoid /bony Bankart lesion;Shoulder;Bone ;Fracture ;;
SF3;Fracture neck of humerus;Shoulder;Bone ;Fracture ;;
SFHT;Fracture greater tuberosity humerus;Shoulder;Bone ;Fracture ;;
SFS;Hill Sachs compression fracture;Shoulder;Bone ;Fracture ;;
SSX;Shoulder stress/Overuse injuries incl stress fractures;Shoulder;Bone ;Bone stress injury ;;
SSF;Shoulder bony stress/over use injury;Shoulder;Bone ;Bone stress injury ;;
SS1;Stress fracture coracoid process;Shoulder;Bone ;Bone stress injury ;;
SSA;A/C joint stress/overuse injury;Shoulder;Bone ;Bone stress injury ;;
SAO;Osteolysis of distal clavicle;Shoulder;Cartilage/synovium/bursa ;Arthritis ;;
SSZ;Other bony/overuse injuries not elsewhere classified;Shoulder;Bone ;Bone stress injury ;;
SNX;Shoulder Neurological injury;Shoulder;Nervous system;Nerve injury;;
SN3;Thoracic Outlet Syndrome (neural);Shoulder;Nervous system;Nerve injury;;
SN1;Brachial plexus traction injury/burner/stinger;Shoulder;Nervous system;Nerve injury;;
SN2;Isolated axillary nerve palsy;Shoulder;Nervous system;Nerve injury;;
SN4;Suprascapular nerve entrapment or palsy;Shoulder;Nervous system;Nerve injury;;
SVT;Shoulder vascular thoracic outlet injury;Shoulder;Vessels;Contusion/vascular;;
SVV;Subclavian vein obstruction;Shoulder;Vessels;Contusion/vascular;;
SPZ;Shoulder pain without tissue type specified ;Shoulder;Non-specific ;Pain without tissue type specified ;;
SAX;Shoulder Osteoarthritis;Shoulder;Cartilage/synovium/bursa ;Arthritis ;;
SA1;Glenohumeral osteoarthritis (O/A);Shoulder;Cartilage/synovium/bursa ;Arthritis ;;
SAA;A/C joint arthritis;Shoulder;Cartilage/synovium/bursa ;Arthritis ;;
SZ1;Shoulder pain undiagnosed;Shoulder;Non-specific ;Unknown;;
SZS;Post shoulder surgery;Shoulder;Non-specific ;Unknown;;
SZP;Shoulder Pain/Injury not otherwise specified;Shoulder;Non-specific ;Unknown;;
UHX;Upper Arm Soft Tissue Bruising/Haematoma;Upper Arm;Muscle/tendon ;Muscle contusion ;;
UHT;Upper arm muscle bruising/haematoma;Upper Arm;Muscle/tendon ;Muscle contusion ;;
UH1;Biceps haematoma;Upper Arm;Muscle/tendon ;Muscle contusion ;;
UH3;Triceps Haematoma;Upper Arm;Muscle/tendon ;Muscle contusion ;;
UHM;Upper arm myositis ossificans;Upper Arm;Muscle/tendon ;Muscle contusion ;;
UHZ;Other Upper arm soft tissue bruising/haematoma;Upper Arm;Muscle/tendon ;Muscle contusion ;;
UIX;Upper Arm Abrasion;Upper Arm;Superficial tissues/skin ;Abrasion ;;
UK1;Upper arm laceration;Upper Arm;Superficial tissues/skin ;Laceration ;;
UMX;Upper Arm Muscle Strain/Spasm/Trigger points;Upper Arm;Muscle/tendon ;Muscle injury;;
UM1;Biceps muscle strain;Upper Arm;Muscle/tendon ;Muscle injury;;
UMT;Triceps muscle strain;Upper Arm;Muscle/tendon ;Muscle injury;;
UMY;Upper arm muscle trigger points/pain;Upper Arm;Muscle/tendon ;Muscle injury;;
UMD;Upper arm delayed onset muscle soreness (DOMS);Upper Arm;Muscle/tendon ;Muscle injury;;
UT8;Upper Arm Tendon Injury;Upper Arm;Muscle/tendon ;Tendinopathy ;;
UFX;Upper Arm Fracture;Upper Arm;Bone ;Fracture ;;
UFH;Humerus fracture;Upper Arm;Bone ;Fracture ;;
UF1;Midshaft humerus fracture;Upper Arm;Bone ;Fracture ;;
UGL;Little leaguers' shoulder ;Upper Arm;Bone ;Physis injury ;;
UJX;Humerus bone contusion  ;Upper Arm;Bone ;Bone contusion  ;;
USX;Upper Arm Bony Stress /Overuse Injury;Upper Arm;Bone ;Bone stress injury ;;
USF;Upper arm stress fracture;Upper Arm;Bone ;Bone stress injury ;;
US1;Stress fracture humerus;Upper Arm;Bone ;Bone stress injury ;;
UPZ;Other Upper Arm Overuse Injury;Upper Arm;Non-specific ;Pain without tissue type specified ;;
UPS;Upper arm soft tissue overuse injury (e.g. periostitis);Upper Arm;Non-specific ;Pain without tissue type specified ;;
UNX;Upper Arm neurological injury;Upper Arm;Nervous system;Nerve injury;;
UN1;Median Nerve injuryupper arm;Upper Arm;Nervous system;Nerve injury;;
UNR;Radial Nerve injuryupper arm;Upper Arm;Nervous system;Nerve injury;;
UNU;Ulnar Nerve injuryupper arm;Upper Arm;Nervous system;Nerve injury;;
UNS;Musculocutaneous Nerve injuryupper arm;Upper Arm;Nervous system;Nerve injury;;
UZX;Upper Arm Pain/Injury not otherwise specified;Upper Arm;Non-specific ;Unknown;;
EZX;Elbow Injuries;Elbow;Non-specific ;Unknown;;
EV1;Elbow contusion/haematoma;Elbow;Vessels;Contusion/vascular;;
EKX;Elbow laceration;Elbow;Superficial tissues/skin ;Laceration ;;
EII;Complication of elbow laceration including infection;Elbow;Superficial tissues/skin ;Abrasion ;;
EI1;Elbow abrasion superficial;Elbow;Superficial tissues/skin ;Abrasion ;;
EK1;Elbow laceration deep;Elbow;Superficial tissues/skin ;Laceration ;;
EJX;Elbow bone bruise;Elbow;Bone ;Bone contusion  ;;
EMX;Elbow muscle strain/spasm/trigger points;Elbow;Muscle/tendon ;Muscle injury;;
EPX;Elbow pain without tissue type specified ;Elbow;Non-specific ;Pain without tissue type specified ;;
ETC;Elbow Tendon Injury Combined;Elbow;Muscle/tendon ;Tendinopathy ;;
ETE;Common extensor origin tear;Elbow;Muscle/tendon ;Tendinopathy ;;
ET1;Tennis elbow (lateral epicondyle pain);Elbow;Muscle/tendon ;Tendinopathy ;;
ETF;Common flexor origin tear;Elbow;Muscle/tendon ;Tendinopathy ;;
ET2;Golfer's elbow (medial epicondyle pain);Elbow;Muscle/tendon ;Tendinopathy ;;
ETB;Distal biceps tendinopathy;Elbow;Muscle/tendon ;Tendinopathy ;;
ER1;Distal biceps tendon rupture;Elbow;Muscle/tendon ;Tendon rupture ;;
ETT;Distal triceps tendon injury;Elbow;Muscle/tendon ;Tendinopathy ;;
ET3;Distal triceps tendinopathy;Elbow;Muscle/tendon ;Tendinopathy ;;
ER2;Distal triceps tendon rupture;Elbow;Muscle/tendon ;Tendon rupture ;;
ELJ;Sprained/jarred elbow;Elbow;Ligament/joint capsule ;Ligament;;
EL1;Elbow ulna/medial collateral ligament (UCL) strain or tear;Elbow;Ligament/joint capsule ;Ligament;;
ELR;Elbow UCL rupture/grade 3 tear;Elbow;Ligament/joint capsule ;Ligament;;
ELM;Elbow UCL injury and common flexor origin tear;Elbow;Ligament/joint capsule ;Ligament;;
ELA;Elbow hyperextension +/- strain anterior elbow structures;Elbow;Ligament/joint capsule ;Ligament;;
ELZ;Other elbow strain not otherwise specified;Elbow;Ligament/joint capsule ;Ligament;;
EC1;Chondral lesion elbow (+/- loose bodies);Elbow;Cartilage/synovium/bursa ;Cartilage ;;
ECL;Loose Body in Elbow;Elbow;Cartilage/synovium/bursa ;Cartilage ;;
ED1;Dislocated elbow;Elbow;Ligament/joint capsule ;Joint sprain;;
EDA;Anterior elbow dislocation;Elbow;Ligament/joint capsule ;Joint sprain;;
EDP;Posterior elbow dislocation;Elbow;Ligament/joint capsule ;Joint sprain;;
ED2;Dislocated radial head;Elbow;Ligament/joint capsule ;Joint sprain;;
EEP;Panner disease (elbow avascular necrosis);Elbow;Bone ;Avascular necrosis ;;
EUX;Elbow Instability;Elbow;Ligament/joint capsule ;Chronic instability ;;
EU1;Elbow valgus instability;Elbow;Ligament/joint capsule ;Chronic instability ;;
EU2;Elbow posterolateral instability;Elbow;Ligament/joint capsule ;Chronic instability ;;
EQ1;Elbow atraumatic synovitis;Elbow;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
EQ4;Elbow posterior impingement/synovitis;Elbow;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
EB1;Elbow olecranon bursitis;Elbow;Cartilage/synovium/bursa ;Bursitis ;;
EFX;Elbow Fractures;Elbow;Bone ;Fracture ;;
EFM;Avulsion fracture elbow multiple locations or location unspecified;Elbow;Bone ;Fracture ;;
EFH;Supracondylar humeral fracture;Elbow;Bone ;Fracture ;;
EF2;Fractured humeral condyle(s);Elbow;Bone ;Fracture ;;
EF1;Avulsion fracture distal humerus;Elbow;Bone ;Fracture ;;
EFU;Fractured olecranon;Elbow;Bone ;Fracture ;;
RFD;Fractured distal radius;Forearm;Bone ;Fracture ;;
EF3;Fractured radial head;Elbow;Bone ;Fracture ;;
EFR;Avulsion fracture proximal radius;Elbow;Bone ;Fracture ;;
ES1;Elbow stress fracture;Elbow;Bone ;Bone stress injury ;;
EN1;Ulnar neuropathy, elbow;Elbow;Nervous system;Nerve injury;;
EN2;Other nerve entrapment, elbow;Elbow;Nervous system;Nerve injury;;
EA1;Elbow osteoarthritis;Elbow;Cartilage/synovium/bursa ;Arthritis ;;
EZ1;Elbow pain undiagnosed;Elbow;Non-specific ;Unknown;;
EZZ;Elbow Pain/Injury not otherwise specified;Elbow;Non-specific ;Unknown;;
RH1;Forearm contusion/haematoma;Forearm;Muscle/tendon ;Muscle contusion ;;
RIX;Forearm Abrasion;Forearm;Superficial tissues/skin ;Abrasion ;;
