competition_id;team_id;player_id;half_time;match_run_time_in_ms;match_run_time;match_time_in_ms;match_time;ball_state;player_injury_signs;contact_type;contact_type_detail;body_profile;injury_body_location;body_part;injured_player_velocity;jump_detail;run_detail;run_detail_extra;other_player_body_location;other_player_body_part;other_player_velocity;other_player_jump_detail;other_player_run_detail;other_player_run_detail_extra;game_reaction;referee_action;referee_action_play_stopped;medic_required;assessment_required_on_pitch;assessment_required_pitch_side;injury_outcome;injury_outcome_action;injured_player_sanction;other_player_sanction;time_from_injury_start_to_injury_outcome;time_from_injury_start_to_player_injury_signs;time_from_referee_action_to_medic_required;time_from_injury_start_to_medic_required;time_from_medic_required_to_assessment_starting_on_pitch;assessment_on_pitch_time;assessment_pitch_side_time;total_assessment_time;closest_player_action;closest_player_action_pressure;player_tactical_starting_position;match_number;match_name;team_name;player_name;player_shirt_number;competition_name;match_id
;;;;;;;;;;direct_contact;opposing_player;;;ankle;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;3;;TEAM FOXTROT;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;ankle;;;;;;;;;;;;play_stopped;teammate_foul_for;medic_required;FALSE;;;;;;;;;;;;;;aerial_control;;;8;;TEAM OSCAR;;;;
;;;;;;;;;;direct_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;offer;;;15;;TEAM MIKE;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;foot;;;;;;;;;;;;play_stopped;other;medic_not_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;25;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;trunk;;;;;;;;;;;;play_on;;medic_required;FALSE;;;;;;;;;;;;;;aerial_control;;;30;;TEAM MIKE;;;;
;;;;;;;;;;non_contact;opposing_player;;;ankle;;;;;;;;;;;;play_on;;medic_required;FALSE;;;;;;;;;;;;;;pass;;;23;;TEAM PAPA;;;;
;;;;;;;;;;direct_contact;other;;;lower_arm;;;;;;;;;;;;play_stopped;foul_against;medic_not_required;FALSE;;;sub;;;;;;;;;;;aerial_duel;;;25;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;other;;;hands;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_control;;;10;;TEAM DELTA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;head;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;offer;;;29;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;knee;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;clearance;;;5;;TEAM INDIA;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;thigh;;;;;;;;;;;;play_on;;medic_required;FALSE;;;;;;;;;;;;;;defensive_line_support;;;1;;TEAM BRAVO;;;;
;;;;;;;;;;direct_contact;opposing_player;;;elbow;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_control;;;11;;TEAM GOLF;;;;
;;;;;;;;;;direct_contact;opposing_player;;;elbow;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;ball_progression;;;22;;TEAM JULIETT;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;trunk;;;;;;;;;;;;play_on;;medic_not_required;TRUE;;;;;;;;;;;246.98842;;;defensive_line_support;;;29;;TEAM ALPHA;;;;
;;;;;;;;;;indirect_contact;ball_contact;;;hands;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;clearance;;;4;;TEAM GOLF;;;;
;;;;;;;;;;direct_contact;opposing_player;;;ankle;;;;;;;;;;;;play_on;;medic_required;FALSE;;;;;;;;;;;;;;active_engagement;;;6;;TEAM KILO;;;;
;;;;;;;;;;indirect_contact;ball_contact;;;knee;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;12;;TEAM HOTEL;;;;
;;;;;;;;;;direct_contact;other;;;trunk;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_control;;;6;;TEAM LIMA;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;neck;;;;;;;;;;;;play_stopped;foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;duel;;;29;;TEAM ALPHA;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;thigh;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_duel;;;1;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;unidentifiable;;;;;;;;;;;;play_stopped;foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;defensive_line_support;;;7;;TEAM NOVEMBER;;;;
;;;;;;;;;;direct_contact;other;;;elbow;;;;;;;;;;;;play_stopped;injury_stoppage;medic_not_required;FALSE;;;;;;;;;;;;;;pushing_on;;;8;;TEAM OSCAR;;;;
;;;;;;;;;;direct_contact;opposing_player;;;neck;;;;;;;;;;;;play_stopped;injury_stoppage;medic_required;FALSE;;;;;;;;;;;;;;aerial_control;;;12;;TEAM HOTEL;;;;
;;;;;;;;;;unidentifiable;opposing_player;;;neck;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;attempt_at_goal;;;20;;TEAM GOLF;;;;
;;;;;;;;;;non_contact;ball_contact;;;hip_pelvis_groin;;;;;;;;;;;;play_on;;medic_required;FALSE;;;;;;;;;;;;;;interception;;;4;;TEAM HOTEL;;;;
;;;;;;;;;;direct_contact;pitch_object;;;elbow;;;;;;;;;;;;play_stopped;foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;pushing_on;;;3;;TEAM ECHO;;;;
;;;;;;;;;;direct_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;interception;;;21;;TEAM LIMA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;head;;;;;;;;;;;;play_stopped;teammate_foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;defensive_line_support;;;5;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;unidentifiable;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;pass;;;4;;TEAM HOTEL;;;;
;;;;;;;;;;direct_contact;pitch_object;;;hip_pelvis_groin;;;;;;;;;;;;play_on;;medic_not_required;TRUE;;;sub;;;;;;;;112.119487;;;aerial_control;;;15;;TEAM OSCAR;;;;
;;;;;;;;;;direct_contact;ball_contact;;;neck;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;pushing_on;;;9;;TEAM CHARLIE;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;play_stopped;teammate_foul_against;medic_not_required;FALSE;;;;;yellow_card;;;;;;;;;goal_prevention;;;7;;TEAM MIKE;;;;
;;;;;;;;;;direct_contact;opposing_player;;;knee;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;defensive_line_support;;;21;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;ball_contact;;;lower_arm;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_control;;;7;;TEAM NOVEMBER;;;;
;;;;;;;;;;non_contact;other;;;head;;;;;;;;;;;;play_stopped;teammate_foul_against;medic_not_required;FALSE;;;;;;;;;;;;;;active_engagement;;;1;;TEAM BRAVO;;;;
;;;;;;;;;;non_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;no_action;;medic_not_required;TRUE;;;;;;;;;;;172.755196;;;attempt_at_goal;;;29;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;ball_contact;;;knee;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;attempt_at_goal;;;8;;TEAM OSCAR;;;;
;;;;;;;;;;non_contact;opposing_player;;;elbow;;;;;;;;;;;;play_stopped;foul_against;medic_not_required;FALSE;;;;;;;;;;;;;;pressing;;;4;;TEAM HOTEL;;;;
;;;;;;;;;;direct_contact;opposing_player;;;head;;;;;;;;;;;;play_stopped;foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;clearance;;;24;;TEAM OSCAR;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;play_stopped;injury_stoppage;medic_not_required;TRUE;;;;;;;;;;;59.475239;;;pressing;;;4;;TEAM HOTEL;;;;
;;;;;;;;;;direct_contact;opposing_player;;;knee;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;9;;TEAM CHARLIE;;;;
;;;;;;;;;;direct_contact;opposing_player;;;thigh;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;attempt_at_goal;;;17;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;trunk;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;attempt_at_goal;;;18;;TEAM BRAVO;;;;
;;;;;;;;;;direct_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;play_on;;medic_not_required;TRUE;;;;;;;;;;;214.442394;;;pass;;;31;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;neck;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;pushing_on;;;30;;TEAM ECHO;;;;
;;;;;;;;;;direct_contact;opposing_player;;;hands;;;;;;;;;;;;play_stopped;other;medic_not_required;FALSE;;;;;;;;;;;;;;defensive_line_support;;;14;;TEAM LIMA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;upper_arm;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;31;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;teammate;;;foot;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;yellow_card;;;;;;;;;pass;;;7;;TEAM NOVEMBER;;;;
;;;;;;;;;;direct_contact;opposing_player;;;shoulder;;;;;;;;;;;;play_stopped;teammate_foul_against;medic_not_required;FALSE;;;;;;;;;;;;;;ball_progression;;;23;;TEAM MIKE;;;;
;;;;;;;;;;direct_contact;ball_contact;;;knee;;;;;;;;;;;;no_action;;medic_not_required;TRUE;;;;;;;;;;;189.597651;;;pushing_on;;;6;;TEAM KILO;;;;
;;;;;;;;;;non_contact;opposing_player;;;knee;;;;;;;;;;;;play_stopped;teammate_foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;offer;;;27;;TEAM NOVEMBER;;;;
;;;;;;;;;;direct_contact;opposing_player;;;shoulder;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_duel;;;6;;TEAM LIMA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;unidentifiable;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;pressing;;;19;;TEAM HOTEL;;;;
;;;;;;;;;;direct_contact;opposing_player;;;foot;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;15;;TEAM MIKE;;;;
;;;;;;;;;;direct_contact;pitch_object;;;upper_arm;;;;;;;;;;;;play_stopped;other;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;17;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;ankle;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;yellow_card;;;;;;;;;;duel;;;27;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;teammate;;;head;;;;;;;;;;;;play_stopped;teammate_foul_against;medic_not_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;5;;TEAM JULIETT;;;;
;;;;;;;;;;direct_contact;teammate;;;foot;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;attempt_at_goal;;;7;;TEAM MIKE;;;;
;;;;;;;;;;direct_contact;ball_contact;;;trunk;;;;;;;;;;;;play_on;;medic_required;TRUE;;;;;;;;;;;172.62378;;;block;;;16;;TEAM PAPA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;unidentifiable;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;active_engagement;;;4;;TEAM GOLF;;;;
;;;;;;;;;;direct_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;play_stopped;other;medic_not_required;FALSE;;;;;;;;;;;;;;clearance;;;28;;TEAM JULIETT;;;;
;;;;;;;;;;indirect_contact;teammate;;;shoulder;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;9;;TEAM CHARLIE;;;;
;;;;;;;;;;direct_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;attempt_at_goal;;;6;;TEAM LIMA;;;;
;;;;;;;;;;indirect_contact;other;;;shoulder;;;;;;;;;;;;play_on;;medic_required;FALSE;;;;;;;;;;;;;;duel;;;31;;TEAM ALPHA;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;lower_arm;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;duel;;;4;;TEAM GOLF;;;;
;;;;;;;;;;direct_contact;opposing_player;;;foot;;;;;;;;;;;;no_action;;medic_not_required;TRUE;;;;;;;;;;;226.352838;;;ball_progression;;;2;;TEAM DELTA;;;;
;;;;;;;;;;direct_contact;ball_contact;;;trunk;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;clearance;;;4;;TEAM HOTEL;;;;
;;;;;;;;;;direct_contact;opposing_player;;;thigh;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;active_engagement;;;9;;TEAM CHARLIE;;;;
;;;;;;;;;;non_contact;pitch_object;;;unidentifiable;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_control;;;2;;TEAM DELTA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;elbow;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;block;;;18;;TEAM BRAVO;;;;
;;;;;;;;;;direct_contact;other;;;upper_arm;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_control;;;2;;TEAM CHARLIE;;;;
;;;;;;;;;;direct_contact;opposing_player;;;neck;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;interception;;;26;;TEAM ECHO;;;;
;;;;;;;;;;indirect_contact;ball_contact;;;neck;;;;;;;;;;;;play_on;;medic_required;TRUE;;;;;;;;;;;229.399272;;;duel;;;14;;TEAM JULIETT;;;;
;;;;;;;;;;direct_contact;other;;;thigh;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;defensive_line_support;;;19;;TEAM ECHO;;;;
;;;;;;;;;;direct_contact;opposing_player;;;knee;;;;;;;;;;;;play_stopped;injury_stoppage;medic_not_required;FALSE;;;;;;;;;;;;;;clearance;;;31;;TEAM ECHO;;;;
;;;;;;;;;;direct_contact;ball_contact;;;upper_arm;;;;;;;;;;;;play_stopped;injury_stoppage;medic_not_required;FALSE;;;;;;;;;;;;;;duel;;;12;;TEAM FOXTROT;;;;
;;;;;;;;;;direct_contact;opposing_player;;;lower_arm;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;pressing;;;30;;TEAM ECHO;;;;
;;;;;;;;;;direct_contact;opposing_player;;;hip_pelvis_groin;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;active_engagement;;;2;;TEAM DELTA;;;;
;;;;;;;;;;direct_contact;pitch_object;;;knee;;;;;;;;;;;;play_stopped;foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;ball_progression;;;16;;TEAM NOVEMBER;;;;
;;;;;;;;;;direct_contact;other;;;trunk;;;;;;;;;;;;play_stopped;other;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_control;;;7;;TEAM MIKE;;;;
;;;;;;;;;;non_contact;opposing_player;;;trunk;;;;;;;;;;;;no_action;;medic_required;TRUE;;;;;yellow_card;;;;;;235.2263;;;interception;;;17;;TEAM DELTA;;;;
;;;;;;;;;;indirect_contact;other;;;thigh;;;;;;;;;;;;no_action;;medic_not_required;TRUE;;;;;;;;;;;201.788842;;;attempt_at_goal;;;30;;TEAM ECHO;;;;
;;;;;;;;;;direct_contact;pitch_object;;;hip_pelvis_groin;;;;;;;;;;;;play_stopped;foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;duel;;;32;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;knee;;;;;;;;;;;;play_stopped;foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;aerial_control;;;9;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;ball_contact;;;trunk;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;4;;TEAM GOLF;;;;
;;;;;;;;;;direct_contact;opposing_player;;;unidentifiable;;;;;;;;;;;;play_stopped;other;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;31;;TEAM ECHO;;;;
;;;;;;;;;;indirect_contact;pitch_object;;;lower_arm;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;block;;;27;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;knee;;;;;;;;;;;;play_stopped;foul_against;medic_not_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;17;;TEAM DELTA;;;;
;;;;;;;;;;direct_contact;ball_contact;;;shoulder;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;attempt_at_goal;;;29;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;teammate;;;upper_arm;;;;;;;;;;;;play_stopped;injury_stoppage;medic_required;FALSE;;;;;;;;;;;;;;block;;;25;;TEAM ALPHA;;;;
;;;;;;;;;;indirect_contact;pitch_object;;;hands;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;pass;;;20;;TEAM FOXTROT;;;;
;;;;;;;;;;direct_contact;opposing_player;;;shoulder;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;block;;;3;;TEAM FOXTROT;;;;
;;;;;;;;;;direct_contact;opposing_player;;;head;;;;;;;;;;;;play_stopped;other;medic_not_required;FALSE;;;sub;;;;;;;;;;;block;;;31;;TEAM ECHO;;;;
;;;;;;;;;;direct_contact;pitch_object;;;foot;;;;;;;;;;;;play_on;;medic_required;FALSE;;;;;;;;;;;;;;clearance;;;22;;TEAM JULIETT;;;;
;;;;;;;;;;direct_contact;opposing_player;;;ankle;;;;;;;;;;;;no_action;;medic_required;TRUE;;;;;;;;;;;198.465342;;;block;;;30;;TEAM ECHO;;;;
;;;;;;;;;;non_contact;opposing_player;;;unidentifiable;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;18;;TEAM BRAVO;;;;
;;;;;;;;;;direct_contact;opposing_player;;;knee;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;19;;TEAM ECHO;;;;
;;;;;;;;;;direct_contact;opposing_player;;;lower_arm;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;block;;;27;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;knee;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;goal_prevention;;;2;;TEAM DELTA;;;;
;;;;;;;;;;indirect_contact;ball_contact;;;knee;;;;;;;;;;;;play_on;;medic_not_required;FALSE;;;;;;;;;;;;;;offer;;;29;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;thigh;;;;;;;;;;;;play_stopped;teammate_foul_for;medic_not_required;FALSE;;;;;;;;;;;;;;defensive_line_support;;;8;;TEAM OSCAR;;;;
;;;;;;;;;;indirect_contact;opposing_player;;;trunk;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;pass;;;7;;TEAM MIKE;;;;
;;;;;;;;;;unidentifiable;opposing_player;;;upper_arm;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;pressing;;;20;;TEAM GOLF;;;;
;;;;;;;;;;direct_contact;opposing_player;;;trunk;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;pushing_on;;;31;;TEAM ALPHA;;;;
;;;;;;;;;;direct_contact;other;;;trunk;;;;;;;;;;;;no_action;;medic_required;FALSE;;;;;;;;;;;;;;duel;;;2;;TEAM CHARLIE;;;;
;;;;;;;;;;non_contact;opposing_player;;;upper_arm;;;;;;;;;;;;play_stopped;other;medic_not_required;FALSE;;;;;red_card;;;;;;;;;attempt_at_goal;;;27;;TEAM INDIA;;;;
;;;;;;;;;;direct_contact;opposing_player;;;thigh;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;duel;;;2;;TEAM CHARLIE;;;;
;;;;;;;;;;direct_contact;opposing_player;;;thigh;;;;;;;;;;;;no_action;;medic_not_required;FALSE;;;;;;;;;;;;;;active_engagement;;;16;;TEAM PAPA;;;;
