team;player_id;position;date_birth;height;weight;consent;consent_2;consent_3;consent_notes;consent_notes_2
TMB;TMB015;MF;29/01/1987;179;91;yes;;;;
TMB;TMB016;MF;15/11/2005;181;91;yes;;;;
TMB;TMB017;MF;20/09/1992;179;63;yes;;;;
TMB;TMB018;MF;12/06/1988;181;83;yes;;;;
TMB;TMB019;FW;02/05/1988;181;87;yes;;;;
TMB;TMB020;FW;21/04/1994;176;84;yes;;;;
TMB;TMB021;FW;22/04/1998;177;79;yes;;;;
TMB;TMB022;FW;12/09/1988;186;93;yes;;;;
TMB;TMB023;FW;12/12/1996;183;70;yes;;;;
TMC;TMC001;GK;24/01/1998;177;78;yes;;;;
TMC;TMC002;GK;12/04/2000;176;76;yes;;;;
TMC;TMC003;GK;02/05/1993;185;88;yes;;;;
TMC;TMC004;DF;05/09/1992;175;73;yes;;;;
TMC;TMC005;DF;22/11/2004;183;65;yes;;;;
TMC;TMC006;DF;30/10/1990;179;79;yes;;;;
TMC;TMC007;DF;08/06/1996;183;87;yes;;;;
TMC;TMC008;DF;26/01/1996;178;70;yes;;;;
TMC;TMC009;DF;28/02/1991;188;73;yes;;;;
TMC;TMC010;DF;10/12/1991;181;73;yes;;;;
TMC;TMC011;DF;04/02/2006;180;68;yes;;;;
TMC;TMC012;MF;09/04/2002;184;66;yes;;;;
TMC;TMC013;MF;17/06/1996;180;72;yes;;;;
TMC;TMC014;MF;01/12/1999;175;78;yes;;;;
TMC;TMC015;MF;08/07/2004;182;79;yes;;;;
TMC;TMC016;MF;24/04/1997;177;74;yes;;;;
TMC;TMC017;MF;22/09/1998;188;84;yes;;;;
TMC;TMC018;MF;12/08/1992;170;75;yes;;;;
TMC;TMC019;FW;02/07/1999;185;71;yes;;;;
TMC;TMC020;FW;24/07/1989;186;76;yes;;;;
TMC;TMC021;FW;03/12/1987;176;84;yes;;;;
TMC;TMC022;FW;05/05/1992;187;81;yes;;;;
TMC;TMC023;FW;14/11/1999;181;75;yes;;;;
TMD;TMD001;GK;14/04/2000;197;70;yes;;;;
TMD;TMD002;GK;26/11/1992;175;87;yes;;;;
TMD;TMD003;GK;23/09/2001;166;91;yes;;;;
TMD;TMD004;DF;13/10/1992;193;72;yes;;;;
TMD;TMD005;DF;04/11/1996;180;78;yes;;;;
TMD;TMD006;DF;02/08/1999;173;76;yes;;;;
TMD;TMD007;DF;13/04/1992;182;72;yes;;;;
TMD;TMD008;DF;12/11/1999;184;82;yes;;;;
TMD;TMD009;DF;23/12/2004;174;62;yes;;;;
TMD;TMD010;DF;24/05/1993;187;73;yes;;;;
TMD;TMD011;DF;03/05/2002;177;78;yes;;;;
TMD;TMD012;MF;08/11/2001;175;81;yes;;;;
TMD;TMD013;MF;14/04/2001;176;80;yes;;;;
TMD;TMD014;MF;15/08/1995;178;79;yes;;;;
TMD;TMD015;MF;13/02/2006;179;86;yes;;;;
TMD;TMD016;MF;11/11/1991;166;80;yes;;;;
TMD;TMD017;MF;24/01/1996;175;83;yes;;;;
TMD;TMD018;MF;25/02/1986;178;73;yes;;;;
TMD;TMD019;FW;17/07/1999;176;86;yes;;;;
TMD;TMD020;FW;15/07/2003;167;72;yes;;;;
TMD;TMD021;FW;21/05/1989;178;69;yes;;;;
TMD;TMD022;FW;19/01/1995;193;83;yes;;;;
TMD;TMD023;FW;10/09/1987;173;63;yes;;;;
TME;TME001;GK;10/07/1992;187;77;yes;;;;
TME;TME002;GK;19/06/2004;186;92;yes;;;;
TME;TME003;GK;04/06/1990;183;85;yes;;;;
TME;TME004;DF;26/09/2001;175;76;yes;;;;
TME;TME005;DF;10/02/1991;173;79;yes;;;;
TME;TME006;DF;09/10/1995;179;72;yes;;;;
TME;TME007;DF;15/11/1986;185;65;yes;;;;
TME;TME008;DF;12/10/1994;183;77;;;;;
TME;TME009;DF;06/09/1999;195;83;yes;;;;
TME;TME010;DF;02/09/1992;180;76;yes;;;;
TME;TME011;DF;07/08/2001;175;71;yes;;;;
TME;TME012;MF;15/12/1994;168;74;yes;;;;
TME;TME013;MF;05/10/2000;182;76;yes;;;;
TME;TME014;MF;10/08/1989;173;89;yes;;;;
TME;TME015;MF;05/06/2002;178;75;yes;;;;
TME;TME016;MF;19/08/2004;183;74;yes;;;;
TME;TME017;MF;23/01/2001;173;68;yes;;;;
TME;TME018;MF;03/07/1989;178;80;yes;;;;
TME;TME019;FW;22/08/2003;192;75;yes;;;;
TME;TME020;FW;05/06/1993;186;71;yes;;;;
TME;TME021;FW;09/03/1990;176;80;yes;;;;
TME;TME022;FW;07/01/2004;178;77;yes;;;;
TME;TME023;FW;06/04/1998;181;76;yes;;;;
TMF;TMF001;GK;09/01/1988;186;79;yes;;;;
TMF;TMF002;GK;22/09/1988;184;77;yes;;;;
TMF;TMF003;GK;18/01/2003;184;80;yes;;;;
TMF;TMF004;DF;09/02/1996;180;83;yes;;;;
TMF;TMF005;DF;03/01/2001;180;76;yes;;;;
TMF;TMF006;DF;23/09/1986;183;72;yes;;;;
TMF;TMF007;DF;27/09/2004;169;73;yes;;;;
TMF;TMF008;DF;15/08/1989;192;64;yes;;;;
TMF;TMF009;DF;28/09/2003;179;82;yes;;;;
TMF;TMF010;DF;24/06/1991;185;83;yes;;;;
TMF;TMF011;DF;05/04/2006;190;87;yes;;;;
TMF;TMF012;MF;23/08/1994;195;71;yes;;;;
TMF;TMF013;MF;06/07/1989;177;84;yes;;;;
TMF;TMF014;MF;30/01/1987;180;67;yes;;;;
TMF;TMF015;MF;28/02/1986;169;82;yes;;;;
TMF;TMF016;MF;08/05/1997;183;91;yes;;;;
TMF;TMF017;MF;24/11/2005;180;77;yes;;;;
TMF;TMF018;MF;17/01/2006;185;85;yes;;;;
TMF;TMF019;FW;23/07/1996;182;77;yes;;;;
TMF;TMF020;FW;29/03/1991;168;70;yes;;;;
TMF;TMF021;FW;25/04/1992;174;71;yes;;;;
TMF;TMF022;FW;07/03/1992;174;70;yes;;;;
TMF;TMF023;FW;20/12/2003;187;85;yes;;;;
TMG;TMG001;GK;04/11/2005;171;70;yes;;;;
TMG;TMG002;GK;10/12/1993;187;73;yes;;;;
TMG;TMG003;GK;22/09/1988;192;79;yes;;;;
TMG;TMG004;DF;08/08/1998;177;85;yes;;;;
TMG;TMG005;DF;19/01/2004;180;76;yes;;;;
TMG;TMG006;DF;18/02/1997;189;79;yes;;;;
TMG;TMG007;DF;21/08/1993;171;69;yes;;;;
TMG;TMG008;DF;11/09/1985;172;80;yes;;;;
TMG;TMG009;DF;12/01/1995;187;88;yes;;;;
TMG;TMG010;DF;05/05/2001;168;86;yes;;;;
TMG;TMG011;DF;20/11/1993;175;62;yes;;;;
TMG;TMG012;MF;13/09/1997;187;80;yes;;;;
TMG;TMG013;MF;24/05/1998;182;71;yes;;;;
TMG;TMG014;MF;28/01/1997;182;65;yes;;;;
TMG;TMG015;MF;22/11/1987;174;79;yes;;;;
TMG;TMG016;MF;27/12/2001;194;75;yes;;;;
TMG;TMG017;MF;31/05/1991;191;76;yes;;;;
TMG;TMG018;MF;02/02/1997;181;83;yes;;;;
TMG;TMG019;FW;01/09/2002;172;83;yes;;;;
TMG;TMG020;FW;23/05/2006;171;70;yes;;;;
TMG;TMG021;FW;07/09/1995;184;81;yes;;;;
TMG;TMG022;FW;31/01/2003;179;63;yes;;;;
TMG;TMG023;FW;02/10/2003;179;73;yes;;;;
TMH;TMH001;GK;19/01/1991;179;74;yes;;;;
TMH;TMH002;GK;05/02/1989;191;74;yes;;;;
TMH;TMH003;GK;15/05/2003;185;79;yes;;;;
TMH;TMH004;DF;17/03/1990;179;63;yes;;;;
TMH;TMH005;DF;03/06/1989;163;65;yes;;;;
TMH;TMH006;DF;08/08/2004;190;83;yes;;;;
TMH;TMH007;DF;21/02/1994;185;72;yes;;;;
TMH;TMH008;DF;17/09/1994;182;69;yes;;;;
TMH;TMH009;DF;26/09/1997;183;74;yes;;;;
TMH;TMH010;DF;30/01/1989;175;80;yes;;;;
TMH;TMH011;DF;08/07/1991;180;78;yes;;;;
TMH;TMH012;MF;30/01/1997;166;78;yes;;;;
TMH;TMH013;MF;26/03/1990;180;84;yes;;;;
TMH;TMH014;MF;27/05/1998;178;70;yes;;;;
TMH;TMH015;MF;06/11/1992;172;62;yes;;;;
TMH;TMH016;MF;12/07/1997;189;66;yes;;;;
TMH;TMH017;MF;27/04/2006;176;78;yes;;;;
TMH;TMH018;MF;11/08/1989;192;74;yes;;;;
TMH;TMH019;FW;28/07/1993;184;64;yes;;;;
TMH;TMH020;FW;01/12/2003;175;67;yes;;;;
TMH;TMH021;FW;15/07/1986;187;78;yes;;;;
TMH;TMH022;FW;15/04/2000;197;76;yes;;;;
TMH;TMH023;FW;25/04/1991;181;62;yes;;;;
TMI;TMI001;GK;12/08/2000;182;70;yes;;;;
TMI;TMI002;GK;27/11/1985;187;74;yes;;;;
TMI;TMI003;GK;06/10/1990;173;69;yes;;;;
TMI;TMI004;DF;20/01/1991;179;82;yes;;;;
TMI;TMI005;DF;24/12/1991;176;74;yes;;;;
TMI;TMI006;DF;24/03/2003;180;68;yes;;;;
TMI;TMI007;DF;13/12/2005;187;80;yes;;;;
TMI;TMI008;DF;25/05/2005;179;83;yes;;;;
TMI;TMI009;DF;10/08/2003;173;62;yes;;;;
TMI;TMI010;DF;22/09/2003;180;73;yes;;;;
TMI;TMI011;DF;08/05/2004;180;66;;;;;
TMI;TMI012;MF;08/06/2004;171;81;yes;;;;
TMI;TMI013;MF;19/08/1995;174;76;yes;;;;
TMI;TMI014;MF;18/05/1996;169;73;yes;;;;
TMI;TMI015;MF;08/10/1987;179;70;yes;;;;
TMI;TMI016;MF;24/02/1988;175;73;yes;;;;
TMI;TMI017;MF;23/01/1986;190;75;yes;;;;
TMI;TMI018;MF;08/10/2004;173;71;yes;;;;
TMI;TMI019;FW;15/01/1993;186;70;yes;;;;
TMI;TMI020;FW;08/05/2004;182;66;yes;;;;
TMI;TMI021;FW;24/10/1988;191;79;yes;;;;
TMI;TMI022;FW;13/11/2004;176;72;yes;;;;
TMI;TMI023;FW;30/09/1994;177;79;yes;;;;
TMJ;TMJ001;GK;02/07/1997;186;80;yes;;;;
TMJ;TMJ002;GK;24/09/2003;186;68;yes;;;;
TMJ;TMJ003;GK;21/03/1989;182;74;yes;;;;
TMJ;TMJ004;DF;27/12/1992;172;60;yes;;;;
TMJ;TMJ005;DF;20/04/1988;174;71;yes;;;;
TMJ;TMJ006;DF;26/10/1997;195;82;yes;;;;
TMJ;TMJ007;DF;24/10/1996;178;71;yes;;;;
TMJ;TMJ008;DF;15/03/1988;167;65;yes;;;;
TMJ;TMJ009;DF;18/10/1996;188;77;yes;;;;
TMJ;TMJ010;DF;29/03/2000;175;75;yes;;;;
TMJ;TMJ011;DF;21/09/1989;178;73;yes;;;;
TMJ;TMJ012;MF;15/10/2002;179;64;yes;;;;
TMJ;TMJ013;MF;20/03/2003;185;74;yes;;;;
TMJ;TMJ014;MF;14/01/2004;189;76;yes;;;;
TMJ;TMJ015;MF;27/10/1994;176;75;yes;;;;
TMJ;TMJ016;MF;04/05/1989;179;69;yes;;;;
TMJ;TMJ017;MF;24/10/1995;180;88;yes;;;;
TMJ;TMJ018;MF;01/06/2001;181;88;yes;;;;
TMJ;TMJ019;FW;23/01/1989;185;74;yes;;;;
TMJ;TMJ020;FW;28/06/1995;177;71;yes;;;;
TMJ;TMJ021;FW;21/01/1987;182;69;yes;;;;
TMJ;TMJ022;FW;13/10/2000;187;79;yes;;;;
TMJ;TMJ023;FW;24/08/1995;169;68;yes;;;;
TMK;TMK001;GK;09/11/2004;185;68;yes;;;;
TMK;TMK002;GK;28/03/2002;176;72;yes;;;;
TMK;TMK003;GK;02/09/1986;187;87;yes;;;;
TMK;TMK004;DF;17/06/1999;181;67;yes;;;;
TMK;TMK005;DF;09/01/1992;178;84;yes;;;;
TMK;TMK006;DF;20/02/1987;184;76;yes;;;;
TMK;TMK007;DF;20/10/1997;180;63;yes;;;;
TMK;TMK008;DF;08/06/2002;179;83;yes;;;;
TMK;TMK009;DF;06/07/1989;176;77;yes;;;;
TMK;TMK010;DF;12/04/1987;178;74;yes;;;;
TMK;TMK011;DF;16/04/1998;175;77;yes;;;;
TMK;TMK012;MF;03/05/2005;181;84;yes;;;;
TMK;TMK013;MF;02/03/1999;181;80;yes;;;;
TMK;TMK014;MF;15/03/1998;185;67;yes;;;;
TMK;TMK015;MF;18/10/2003;171;65;yes;;;;
TMK;TMK016;MF;28/02/2003;180;73;yes;;;;
TMK;TMK017;MF;14/07/1997;185;80;yes;;;;
TMK;TMK018;MF;11/03/1990;183;78;yes;;;;
TMK;TMK019;FW;02/01/2001;201;76;yes;;;;
TMK;TMK020;FW;29/08/1989;185;74;yes;;;;
TMK;TMK021;FW;01/08/1995;179;92;yes;;;;
TMK;TMK022;FW;04/06/2002;186;74;yes;;;;
TMK;TMK023;FW;19/05/2003;181;80;yes;;;;
TML;TML001;GK;15/05/1996;177;71;yes;;;;
TML;TML002;GK;17/06/2002;173;81;yes;;;;
TML;TML003;GK;01/05/1998;179;83;yes;;;;
TML;TML004;DF;16/12/1999;179;78;yes;;;;
TML;TML005;DF;25/02/2000;187;76;yes;;;;
TML;TML006;DF;24/11/1991;188;69;yes;;;;
TML;TML007;DF;06/06/2005;186;64;yes;;;;
TML;TML008;DF;11/03/2003;175;61;yes;;;;
TML;TML009;DF;03/11/2004;178;80;yes;;;;
TML;TML010;DF;24/09/1994;193;73;yes;;;;
TML;TML011;DF;29/09/1991;193;77;yes;;;;
TML;TML012;MF;29/08/2000;170;74;yes;;;;
TML;TML013;MF;03/01/1994;174;86;yes;;;;
TML;TML014;MF;08/05/1996;189;63;yes;;;;
TML;TML015;MF;27/06/2001;180;73;yes;;;;
TML;TML016;MF;10/09/1986;174;84;yes;;;;
TML;TML017;MF;05/11/1985;177;79;yes;;;;
TML;TML018;MF;01/01/2002;174;86;yes;;;;
TML;TML019;FW;18/09/2003;181;81;yes;;;;
TML;TML020;FW;05/08/2003;177;75;yes;;;;
TML;TML021;FW;17/11/2004;185;76;yes;;;;
TML;TML022;FW;08/12/1991;185;81;yes;;;;
TML;TML023;FW;03/11/1996;177;70;yes;;;;
TMM;TMM001;GK;14/12/1992;178;87;yes;;;;
TMM;TMM002;GK;01/03/2004;182;77;yes;;;;
TMM;TMM003;GK;28/05/1998;183;82;yes;;;;
TMM;TMM004;DF;06/01/1986;192;77;yes;;;;
TMM;TMM005;DF;14/08/1991;178;76;yes;;;;
TMM;TMM006;DF;05/10/1993;180;87;yes;;;;
TMM;TMM007;DF;25/12/2003;194;72;yes;;;;
TMM;TMM008;DF;16/07/1994;185;75;yes;;;;
TMM;TMM009;DF;09/11/2001;183;83;yes;;;;
TMM;TMM010;DF;06/12/1998;187;79;yes;;;;
TMM;TMM011;DF;09/08/1986;173;64;yes;;;;
TMM;TMM012;MF;06/09/1985;177;84;yes;;;;
TMM;TMM013;MF;05/09/1989;181;72;;;;;
TMM;TMM014;MF;18/10/2004;175;76;yes;;;;
TMM;TMM015;MF;04/10/1990;188;70;yes;;;;
TMM;TMM016;MF;08/06/1988;187;73;yes;;;;
TMM;TMM017;MF;01/07/1986;189;72;yes;;;;
TMM;TMM018;MF;07/05/1991;187;67;yes;;;;
TMM;TMM019;FW;20/01/1995;180;78;yes;;;;
TMM;TMM020;FW;03/04/1998;174;63;yes;;;;
TMM;TMM021;FW;29/10/1989;188;80;yes;;;;
TMM;TMM022;FW;28/02/1991;172;78;yes;;;;
TMM;TMM023;FW;06/01/1989;182;71;;;;;
TMN;TMN001;GK;27/04/2002;170;70;yes;;;;
TMN;TMN002;GK;07/02/2003;178;72;yes;;;;
TMN;TMN003;GK;06/03/1993;189;84;yes;;;;
TMN;TMN004;DF;16/01/1996;184;94;yes;;;;
TMN;TMN005;DF;27/05/1992;193;73;yes;;;;
TMN;TMN006;DF;26/01/1986;173;76;yes;;;;
TMN;TMN007;DF;23/10/2003;180;72;yes;;;;
TMN;TMN008;DF;08/01/1988;172;77;yes;;;;
TMN;TMN009;DF;27/12/1993;187;76;yes;;;;
TMN;TMN010;DF;04/10/2001;177;71;yes;;;;
TMN;TMN011;DF;06/06/1988;172;83;yes;;;;
TMN;TMN012;MF;12/05/2006;182;73;yes;;;;
TMN;TMN013;MF;16/04/2001;180;68;yes;;;;
TMN;TMN014;MF;08/07/1992;179;73;yes;;;;
TMN;TMN015;MF;15/10/1998;188;87;yes;;;;
TMN;TMN016;MF;25/01/1998;178;73;yes;;;;
TMN;TMN017;MF;09/07/2004;179;76;yes;;;;
TMN;TMN018;MF;12/05/2001;185;78;yes;;;;
TMN;TMN019;FW;25/04/1986;194;75;yes;;;;
TMN;TMN020;FW;28/11/1993;181;76;yes;;;;
TMN;TMN021;FW;04/03/2005;189;75;yes;;;;
TMN;TMN022;FW;09/09/1986;178;87;yes;;;;
TMN;TMN023;FW;30/04/1993;180;80;yes;;;;
TMO;TMO001;GK;17/10/1995;182;83;yes;;;;
TMO;TMO002;GK;10/04/1988;173;69;yes;;;;
TMO;TMO003;GK;30/06/1995;198;86;yes;;;;
TMO;TMO004;DF;09/06/1997;174;73;yes;;;;
TMO;TMO005;DF;03/03/1987;180;78;yes;;;;
TMO;TMO006;DF;30/09/1986;168;74;yes;;;;
TMO;TMO007;DF;07/02/1999;180;78;yes;;;;
TMO;TMO008;DF;10/09/2001;167;84;yes;;;;
TMO;TMO009;DF;18/07/2000;175;70;yes;;;;
TMO;TMO010;DF;08/04/1986;178;85;yes;;;;
TMO;TMO011;DF;19/01/1995;183;75;yes;;;;
TMO;TMO012;MF;17/07/1991;161;71;yes;;;;
TMO;TMO013;MF;11/09/2004;179;80;yes;;;;
TMO;TMO014;MF;23/12/1994;178;75;yes;;;;
TMO;TMO015;MF;12/01/1988;186;73;yes;;;;
TMO;TMO016;MF;06/08/1987;178;68;yes;;;;
TMO;TMO017;MF;11/01/1986;181;78;yes;;;;
TMO;TMO018;MF;03/10/1987;179;90;yes;;;;
TMO;TMO019;FW;21/11/1998;187;65;yes;;;;
TMO;TMO020;FW;26/07/1993;173;67;yes;;;;
TMO;TMO021;FW;07/02/1990;173;85;yes;;;;
TMO;TMO022;FW;09/12/1987;185;78;yes;;;;
TMO;TMO023;FW;20/09/1999;186;66;yes;;;;
TMP;TMP001;GK;31/08/1997;182;77;;;;;
TMP;TMP002;GK;16/07/1993;191;73;yes;;;;
TMP;TMP003;GK;22/04/1998;180;81;yes;;;;
TMP;TMP004;DF;26/01/1993;177;73;yes;;;;
TMP;TMP005;DF;09/08/1994;183;86;yes;;;;
TMP;TMP006;DF;13/08/1987;174;75;yes;;;;
TMP;TMP007;DF;27/07/1994;169;72;yes;;;;
TMP;TMP008;DF;20/01/1988;181;77;yes;;;;
TMP;TMP009;DF;30/11/1989;185;77;yes;;;;
TMP;TMP010;DF;09/08/1994;179;74;yes;;;;
TMP;TMP011;DF;10/07/2001;185;72;yes;;;;
TMP;TMP012;MF;04/07/1990;176;79;yes;;;;
TMP;TMP013;MF;21/04/1990;192;81;yes;;;;
TMP;TMP014;MF;10/07/1998;184;76;yes;;;;
TMP;TMP015;MF;06/06/1991;175;77;yes;;;;
TMP;TMP016;MF;14/06/1990;203;67;yes;;;;
TMP;TMP017;MF;20/09/2004;188;76;yes;;;;
TMP;TMP018;MF;26/06/1993;189;58;yes;;;;
TMP;TMP019;FW;16/04/1992;175;75;yes;;;;
TMP;TMP020;FW;04/07/1990;189;79;yes;;;;
TMP;TMP021;FW;28/05/1990;180;84;yes;;;;
TMP;TMP022;FW;01/08/2000;180;86;yes;;;;
TMP;TMP023;FW;23/10/1993;189;79;yes;;;;
TMA;TMA024;DF;27/03/1999;178;72;yes;;;;
