team;player_id;27/05/2024;28/05/2024;29/05/2024;30/05/2024;31/05/2024;01/06/2024;02/06/2024;03/06/2024;04/06/2024;05/06/2024;06/06/2024;07/06/2024;08/06/2024;09/06/2024;10/06/2024;11/06/2024;12/06/2024;13/06/2024;14/06/2024;15/06/2024;16/06/2024;17/06/2024
TMC;TMC015;45;45;;60;60;0;;60;0;45;60;0;;;;;;;;;;
TMC;TMC016;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC017;45;45;90;60;60;20;;60;0;45;;0;;;;;;;;;;
TMC;TMC018;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC019;45;45;90;60;60;20;;60;0;45;60;;;;;;;;;;;
TMC;TMC020;45;45;90;60;60;0;;0;0;45;60;0;;;;;;;;;;
TMC;TMC021;45;45;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMC;TMC022;45;45;90;60;0;20;;60;0;0;60;0;;;;;;;;;;
TMC;TMC023;45;;90;60;60;20;;60;0;45;60;0;;;;;;;;;;
TMD;TMD001;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD002;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD003;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD004;;75;60;45;45;0;0;45;;75;75;30;;;;;;;;;;
TMD;TMD005;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD006;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD007;0;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD008;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD009;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD010;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD011;;75;60;45;45;0;0;45;;75;75;30;;;;;;;;;;
TMD;TMD012;;75;60;45;45;0;0;45;0;0;0;30;;;;;;;;;;
TMD;TMD013;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD014;;75;60;45;45;0;0;0;0;75;75;30;;;;;;;;;;
TMD;TMD015;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD016;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD017;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD018;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD019;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD020;;75;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TMD;TMD021;;75;60;45;45;;0;45;0;75;75;;;;;;;;;;;
TMD;TMD022;;75;60;45;45;0;0;0;0;75;75;30;;;;;;;;;;
TMD;TMD023;;;60;45;45;0;0;45;0;75;75;30;;;;;;;;;;
TME;TME001;;0;45;45;60;30;75;60;0;90;75;30;75;60;0;0;0;;0;90;75;30
TME;TME002;;75;45;45;60;30;75;60;0;0;75;30;75;60;0;0;0;45;0;90;75;30
TME;TME003;;0;45;45;60;30;;60;0;90;75;30;75;60;0;0;0;45;0;90;75;30
TME;TME004;;75;45;45;60;30;75;60;;90;75;30;75;60;0;0;0;45;0;90;75;30
TME;TME005;;75;45;45;60;30;75;60;0;90;75;30;75;60;0;0;0;45;0;90;75;0
TME;TME006;0;75;45;45;60;30;75;60;;90;75;30;75;60;0;0;0;45;0;90;75;30
TME;TME007;;75;45;45;60;30;0;60;0;90;75;30;75;60;0;0;0;45;0;90;75;30
TME;TME008;;75;45;45;60;30;75;60;0;90;75;30;75;60;0;0;;45;0;90;75;30
TME;TME009;;75;45;45;60;30;75;60;;90;75;30;75;60;0;0;0;45;0;90;75;30
TME;TME010;;75;45;;60;30;75;;0;90;75;30;75;60;0;0;0;45;0;90;75;30
TME;TME011;;75;0;45;60;30;75;60;0;90;75;0;75;60;0;0;0;45;0;90;75;30
TME;TME012;;75;45;;0;30;75;60;0;90;75;30;75;60;0;0;0;45;0;90;75;30
TME;TME013;;75;45;45;60;30;75;60;0;90;75;30;;60;0;0;0;45;0;90;75;30
TME;TME014;;75;0;45;60;30;75;60;0;90;0;30;;60;0;0;0;45;0;90;75;30
TME;TME015;;75;45;45;60;30;75;60;0;90;75;30;;60;0;0;0;45;0;90;75;30
TME;TME016;;75;45;0;60;30;75;60;0;90;;30;75;60;0;0;0;;0;;;30
TME;TME017;;75;45;45;60;30;75;60;0;90;75;30;75;0;0;0;0;45;0;90;75;30
TME;TME018;;75;45;45;60;30;75;60;0;90;0;30;0;;0;0;0;0;0;90;75;30
TME;TME019;;75;45;45;60;0;75;60;0;90;75;30;75;60;0;0;0;45;0;90;75;30
TME;TME020;;75;45;45;60;30;0;60;0;90;75;30;75;60;0;0;0;0;0;90;75;
TME;TME021;;75;45;45;60;30;75;60;0;90;75;30;75;60;0;0;0;45;0;90;75;
TME;TME022;;75;45;45;60;30;75;0;0;90;75;30;75;60;0;0;0;45;0;;75;30
TME;TME023;;75;45;45;60;30;75;60;0;90;75;30;75;60;0;0;0;45;0;90;75;30
TMF;TMF001;90;60;90;60;60;0;75;75;;90;75;0;;75;60;;;;;;;
TMF;TMF002;90;60;90;60;0;0;75;75;;;75;0;45;75;60;30;;;;;;
TMF;TMF003;90;60;90;60;0;0;75;75;;90;75;0;45;75;60;30;;;;;;
TMF;TMF004;0;;0;60;0;0;75;75;;90;75;0;0;75;60;30;;;;;;
TMF;TMF005;90;60;;60;0;0;75;75;;0;75;0;45;75;60;30;;;;;;
TMF;TMF006;90;60;90;60;60;0;75;75;;0;75;0;0;75;60;30;;;;;;
TMF;TMF007;90;60;90;60;60;0;75;75;;90;75;0;45;75;60;30;;;;;;
TMF;TMF008;90;60;90;60;60;0;75;75;;90;75;0;45;75;60;30;;;;;;
TMF;TMF009;90;60;90;60;60;0;75;75;;90;;0;45;75;60;30;;;;;;
TMF;TMF010;90;60;90;60;60;0;0;75;;90;75;0;45;75;60;30;;;;;;
TMF;TMF011;90;60;90;60;60;0;75;75;;90;75;0;45;75;60;30;;;;;;
TMF;TMF012;90;60;0;60;60;0;75;75;;90;;0;45;75;60;30;;;;;;
TMF;TMF013;90;60;90;60;60;0;75;75;;90;75;0;45;75;60;30;;;;;;
TMF;TMF014;90;60;90;60;60;0;75;;;90;75;0;45;75;60;30;;;;;;
TMF;TMF015;;60;90;60;60;0;75;75;0;90;75;0;45;75;60;30;;;;;;
TMF;TMF016;90;60;90;0;;0;75;75;;90;0;0;45;75;60;30;;;;;;
TMF;TMF017;;60;90;60;60;0;75;;;90;75;0;45;75;60;30;;;;;;
TMF;TMF018;0;60;;0;60;0;75;0;;90;75;0;45;75;60;30;;;;;;
TMF;TMF019;90;60;90;60;60;;75;75;;90;75;0;;75;60;30;;;;;;
TMF;TMF020;90;60;90;60;;0;75;;;90;75;0;45;75;60;30;;;;;;
TMF;TMF021;90;60;90;60;60;0;75;75;;90;75;0;45;75;60;30;;;;;;
TMF;TMF022;90;60;90;60;60;0;75;75;;90;75;0;45;75;0;30;;;;;;
TMF;TMF023;90;60;90;60;60;0;75;75;;90;;0;45;75;60;0;;;;;;
TMG;TMG001;0;60;0;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG002;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG003;0;;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG004;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG005;0;60;0;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG006;0;60;60;60;90;0;75;90;30;0;0;;;;;;;;;;;
TMG;TMG007;0;60;60;0;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG008;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG009;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG010;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG011;0;60;60;60;90;0;75;0;30;;0;0;;;;;;;;;;
TMG;TMG012;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG013;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG014;0;60;60;60;90;0;0;90;0;0;0;0;;;;;;;;;;
TMG;TMG015;0;60;60;60;90;0;75;90;;0;0;0;;;;;;;;;;
TMG;TMG016;;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG017;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG018;0;;60;60;90;0;0;90;;0;0;0;;;;;;;;;;
TMG;TMG019;0;60;60;0;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG020;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG021;0;60;60;60;90;0;75;90;30;0;0;0;;;;;;;;;;
TMG;TMG022;0;60;60;60;90;0;75;90;30;0;0;;;;;;;;;;;
TMG;TMG023;0;60;60;60;90;0;0;90;30;0;0;0;;;;;;;;;;
TMH;TMH001;0;60;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH002;0;60;60;0;45;0;60;;0;;;30;;;;;;;;;;
TMH;TMH003;0;60;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH004;0;0;60;45;0;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH005;0;60;60;45;0;0;;;0;;0;30;;;;;;;;;;
TMH;TMH006;0;0;60;;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH007;0;60;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH008;0;60;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH009;;60;;45;45;0;60;0;0;;0;30;;;;;;;;;;
TMH;TMH010;0;60;60;45;45;0;60;;0;;0;0;;;;;;;;;;
TMH;TMH011;0;60;60;0;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH012;0;60;60;0;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH013;0;0;60;45;45;0;60;;0;0;0;30;;;;;;;;;;
TMH;TMH014;0;60;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH015;0;60;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH016;0;60;60;45;45;0;0;0;0;;0;30;;;;;;;;;;
TMH;TMH017;0;60;60;45;0;0;0;;0;;;30;;;;;;;;;;
TMH;TMH018;0;0;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH019;0;60;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH020;0;60;60;45;;;60;;0;;0;30;;;;;;;;;;
TMH;TMH021;0;60;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMH;TMH022;0;60;60;45;45;0;60;;0;;0;;;;;;;;;;;
TMH;TMH023;0;60;60;45;45;0;60;;0;;0;30;;;;;;;;;;
TMI;TMI001;45;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;45;;;60;0
TMI;TMI002;45;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;45;;;60;
TMI;TMI003;0;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;45;;;60;0
TMI;TMI004;45;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;45;;;60;0
TMI;TMI005;45;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;45;;;;0
TMI;TMI006;45;0;;60;60;30;45;;;60;60;0;60;75;;0;60;45;;;60;0
TMI;TMI007;;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;45;;;60;0
TMI;TMI008;45;0;;60;60;30;45;0;;60;60;0;60;75;75;0;60;45;;;60;0
TMI;TMI009;45;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;0;;;60;0
TMI;TMI010;45;0;45;60;60;30;45;0;;60;60;0;60;0;75;0;60;45;;;60;0
TMI;TMI011;45;0;45;60;60;30;45;0;;60;60;0;60;75;;0;60;45;;;60;0
TMI;TMI012;45;0;45;60;60;30;45;0;;60;0;0;60;75;75;0;60;45;;;60;0
TMI;TMI013;45;0;45;60;60;30;45;0;;60;60;0;60;;75;0;60;45;;;60;0
TMI;TMI014;45;0;45;60;60;0;;0;;60;60;0;60;75;75;0;60;45;;;60;0
TMI;TMI015;45;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;0;;;;0
TMI;TMI016;45;0;45;60;0;30;45;0;;60;60;0;60;75;75;0;60;45;;;60;0
TMI;TMI017;45;0;45;60;0;30;45;0;;60;60;0;60;75;75;0;;45;0;;0;0
TMI;TMI018;45;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;45;;;0;0
TMI;TMI019;45;0;45;60;60;30;0;0;;60;60;0;;75;75;0;60;45;;;60;0
TMI;TMI020;45;0;45;60;60;30;45;0;;60;60;0;60;75;75;;60;;0;;60;0
TMI;TMI021;45;0;45;60;60;30;45;0;;0;60;0;60;75;75;0;60;45;;;60;0
TMI;TMI022;45;0;45;60;60;30;45;0;;60;60;0;60;75;75;0;60;45;;;60;0
TMI;TMI023;45;0;45;60;60;30;45;0;;60;60;0;60;;75;0;60;45;;;60;0
TMJ;TMJ001;60;90;;;75;20;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ002;60;90;;60;75;20;60;0;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ003;60;90;;60;75;20;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ004;60;90;;60;75;20;60;75;;;75;0;60;75;;30;;;;;;
TMJ;TMJ005;60;90;;;75;20;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ006;60;90;;60;75;20;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ007;60;90;0;60;75;20;60;75;0;90;75;;60;75;90;30;;;;;;
TMJ;TMJ008;60;90;;60;75;20;60;75;0;90;75;0;0;75;90;30;;;;;;
TMJ;TMJ009;60;90;;60;0;20;60;0;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ010;60;90;;60;75;;60;75;0;90;75;0;0;75;;30;;;;;;
TMJ;TMJ011;60;90;;60;75;20;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ012;60;90;;60;75;20;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ013;60;90;;60;75;20;60;75;0;90;;0;60;75;90;30;;;;;;
TMJ;TMJ014;60;90;;0;75;0;60;75;0;90;75;0;;75;90;30;;;;;;
TMJ;TMJ015;60;90;;60;75;;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ016;60;90;;60;75;20;60;75;0;0;75;0;60;75;90;30;;;;;;
TMJ;TMJ017;60;90;;60;75;20;60;75;0;90;75;;60;75;90;30;;;;;;
TMJ;TMJ018;60;90;;60;75;20;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ019;60;90;;;0;20;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ020;60;90;;60;75;;60;75;0;90;75;0;60;;90;30;;;;;;
TMJ;TMJ021;0;90;;60;75;20;60;75;0;90;75;0;60;75;90;;;;;;;
TMJ;TMJ022;0;90;;60;75;20;60;75;0;90;75;0;60;75;90;30;;;;;;
TMJ;TMJ023;60;90;;60;75;;60;0;0;90;75;0;60;75;90;30;;;;;;
TMK;TMK001;60;;60;60;;20;75;75;;90;60;;;;;;;;;;;
TMK;TMK002;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK003;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK004;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK005;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK006;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK007;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK008;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK009;0;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK010;0;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK011;60;;60;60;;;75;75;;90;60;20;;;;;;;;;;
TMK;TMK012;60;;60;60;;20;75;75;;;60;20;;;;;;;;;;
TMK;TMK013;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK014;60;;;60;0;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK015;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK016;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK017;60;;60;60;;;75;75;;90;60;0;;;;;;;;;;
TMK;TMK018;60;;60;60;;20;75;75;;90;60;20;;;;;;;;;;
TMK;TMK019;;;60;60;;20;0;75;;90;60;20;;;;;;;;;;
TMK;TMK020;60;;60;60;;20;75;75;;90;;20;;;;;;;;;;
TMK;TMK021;60;;60;60;0;0;75;75;;90;60;20;;;;;;;;;;
TMK;TMK022;60;;60;60;;20;75;75;;0;0;20;;;;;;;;;;
TMK;TMK023;60;;;60;;20;75;75;;90;60;20;;;;;;;;;;
TML;TML001;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML002;75;0;75;75;45;20;90;;;60;75;0;;;;;;;;;;
TML;TML003;75;0;75;75;45;20;90;;0;;75;;;;;;;;;;;
TML;TML004;75;0;75;75;0;20;90;;;60;75;0;;;;;;;;;;
TML;TML005;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML006;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML007;75;0;75;75;45;20;90;0;0;60;75;0;;;;;;;;;;
TML;TML008;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML009;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML010;75;0;75;75;45;0;90;;0;60;75;0;;;;;;;;;;
TML;TML011;75;0;75;75;45;20;90;;0;0;75;0;;;;;;;;;;
TML;TML012;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML013;75;0;75;75;0;20;90;0;0;60;75;0;;;;;;;;;;
TML;TML014;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML015;75;;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML016;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML017;75;0;75;75;45;20;0;;0;60;75;0;;;;;;;;;;
TML;TML018;75;0;0;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML019;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML020;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML021;75;0;75;75;45;20;90;;0;60;75;0;;;;;;;;;;
TML;TML022;75;0;75;75;45;20;0;;0;60;75;0;;;;;;;;;;
TML;TML023;75;0;0;75;;20;90;;0;60;75;0;;;;;;;;;;
TMM;TMM001;45;90;0;60;60;0;45;0;30;0;0;30;75;75;;30;;0;0;90;0;20
TMM;TMM002;45;90;45;60;60;0;45;60;30;0;0;30;75;75;0;30;;0;0;90;0;20
TMM;TMM003;45;90;0;60;60;0;45;0;30;0;;30;75;75;;30;;0;0;90;0;
TMM;TMM004;0;90;45;60;60;0;45;60;30;0;0;30;75;75;;30;;0;0;90;0;20
TMM;TMM005;45;90;45;60;60;0;45;60;30;0;0;30;75;75;;30;;0;0;0;0;20
TMM;TMM006;45;90;45;60;60;0;45;;30;0;0;30;75;75;;30;;0;0;90;0;20
TMM;TMM007;45;90;45;60;60;0;45;60;30;0;0;30;0;75;;30;;0;0;90;0;20
TMM;TMM008;45;0;45;60;60;0;45;60;30;0;0;30;75;75;;0;0;0;0;90;0;20
TMM;TMM009;45;90;45;60;60;0;45;60;30;0;0;30;75;75;;30;;0;0;90;0;20
TMM;TMM010;45;90;45;60;0;0;45;60;30;0;0;30;75;75;;0;;0;0;90;0;
TMM;TMM011;45;90;45;60;60;0;45;60;30;0;0;30;75;75;;30;;0;0;90;0;20
TMM;TMM012;45;0;45;60;60;0;45;60;30;;0;30;75;0;;30;;0;0;90;0;20
TMM;TMM013;45;90;45;60;60;0;45;60;;0;0;30;75;0;;30;;0;0;90;0;20
TMM;TMM014;45;90;45;60;60;0;45;60;30;0;0;30;75;75;;30;;0;0;90;0;20
TMM;TMM015;45;90;45;60;60;0;45;60;30;0;0;30;75;75;;30;;0;0;90;;20
TMM;TMM016;45;90;;60;60;0;45;60;30;0;0;30;;75;0;0;;0;0;90;0;20
TMM;TMM017;45;90;45;60;60;0;45;60;30;0;0;30;75;75;;0;;0;0;90;0;20
TMM;TMM018;45;90;45;60;60;0;45;60;30;0;0;30;75;75;;30;;0;0;90;0;
TMM;TMM019;45;90;0;60;60;0;45;60;30;0;0;30;75;75;;30;;0;0;90;0;20
TMM;TMM020;45;90;;60;60;0;45;60;30;0;0;30;75;75;;30;;0;0;90;0;20
TMM;TMM021;0;90;45;60;60;0;45;60;30;0;0;30;75;0;;30;;0;0;90;0;0
TMM;TMM022;45;90;45;60;60;0;45;60;30;0;0;30;75;75;;30;;0;;90;0;20
TMM;TMM023;45;90;45;60;60;0;45;60;30;;0;0;75;75;;30;;0;0;90;0;20
TMN;TMN001;0;45;0;90;60;0;75;0;;45;0;0;45;60;75;30;;;;;;
TMN;TMN002;0;45;60;90;60;0;75;0;20;45;0;30;45;60;0;30;;;;;;
TMN;TMN003;0;45;60;90;60;0;0;0;20;45;0;0;45;60;75;30;;;;;;
TMN;TMN004;0;45;60;0;;;75;0;0;0;0;30;45;60;75;30;;;;;;
TMN;TMN005;0;45;60;90;60;0;75;0;20;45;0;30;45;60;75;30;;;;;;
